# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = arK_arK_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     max_num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 1 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 400
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = arK-arK.data.R
# init = 2 (Default)
# random
#   seed = 4220681
# output
#   file = 2.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,beta.3,beta.4,beta.5,sigma
-120.651,1,0.125,1,1,0,350.576,-0.583139,0.336065,1.13456,-0.101018,-0.158459,-1.24484,1.67406
-120.651,0,14.3855,0,1,1,121.443,-0.583139,0.336065,1.13456,-0.101018,-0.158459,-1.24484,1.67406
-120.651,0,2.43117,0,1,1,123.64,-0.583139,0.336065,1.13456,-0.101018,-0.158459,-1.24484,1.67406
-120.651,0,0.239791,0,1,1,125.569,-0.583139,0.336065,1.13456,-0.101018,-0.158459,-1.24484,1.67406
-94.9491,1,0.0186273,2,3,0,122.667,-0.541079,0.392859,1.12345,-0.103113,-0.138451,-1.20407,1.44531
99.0527,0.950697,0.0257257,3,7,0,87.3225,0.218965,0.175995,1.54584,0.326138,-0.00707652,-0.880057,0.286516
161.187,1,0.0347448,3,7,0,-137.247,-0.126384,0.117741,1.3813,0.289362,-0.0663245,-0.968193,0.290873
161.187,7.37723e-314,0.0589471,1,1,0,-158.939,-0.126384,0.117741,1.3813,0.289362,-0.0663245,-0.968193,0.290873
171.287,0.999919,0.00453999,4,15,0,-156.175,-0.0779212,0.111163,1.36377,0.272901,-0.0590457,-0.975661,0.287368
218.091,0.998834,0.00822372,4,15,0,-168.878,0.0174187,0.104077,1.15554,0.2822,-0.0501087,-0.637683,0.244694
227.143,0.995184,0.0152706,3,7,0,-215.45,-0.017556,0.142442,1.1565,0.252422,-0.0150589,-0.667494,0.213691
231.472,0.4,0.0284974,2,5,1,-222.033,0.00365677,0.148488,1.16595,0.189323,0.00429087,-0.656074,0.195764
250.787,0.997948,0.00822995,4,15,0,-229.61,0.000718954,0.252221,0.905857,0.268988,-0.0506557,-0.522509,0.179587
269.577,0.832231,0.0157966,4,15,0,-246.387,0.00518856,0.763827,0.463727,-0.0179235,-0.128101,-0.192464,0.135434
273.034,0.0417478,0.0180963,4,15,0,-266.323,0.00205581,0.655234,0.508251,0.145542,-0.104151,-0.298602,0.155593
271.403,0.993575,0.00179709,7,255,0,-269.159,-0.0197336,0.709898,0.470794,0.062397,-0.109246,-0.236763,0.158157
271.282,0.996219,0.0034609,6,127,0,-268.726,-0.0191339,0.70934,0.46451,0.061082,-0.112783,-0.233953,0.158268
272.081,0.99387,0.00668445,6,63,0,-270.035,-0.00959447,0.627609,0.516823,0.134117,-0.136594,-0.258781,0.141066
271.556,0.625972,0.0127307,4,15,0,-268.927,0.00697711,0.635223,0.524214,0.128107,-0.180738,-0.207628,0.142321
272.198,0.889142,0.00795946,5,63,0,-269.154,-0.0018419,0.734725,0.315647,0.176242,0.0156693,-0.317907,0.153081
269.461,0.904331,0.0110099,5,31,0,-268.301,0.00690539,0.813178,0.294671,0.163676,-0.0507895,-0.287218,0.137309
268.92,0.794084,0.0158662,5,31,0,-266.56,-0.00123227,0.647143,0.413822,0.117206,0.155692,-0.408076,0.164695
270.462,0.438032,0.0164666,2,7,0,-263.94,-0.00163094,0.653292,0.402543,0.102259,0.0919334,-0.401065,0.15507
268.721,0.995686,0.00607261,6,63,0,-266.859,0.00580479,0.631758,0.476171,0.193418,0.0954527,-0.45933,0.148224
272.025,0.845355,0.0113695,4,27,0,-266.857,-0.0107651,0.745785,0.394952,0.0644538,-0.0570128,-0.215503,0.151987
269.283,0.964522,0.013714,4,23,0,-263.249,-0.0124003,0.782444,0.376608,-0.0822287,0.137444,-0.291236,0.157319
268.981,0.209325,0.0231191,2,5,0,-265.51,0.0024907,0.748698,0.409333,-0.114799,0.113427,-0.279095,0.159245
269.774,0.964914,0.00463279,7,127,0,-262.031,0.00645036,0.812717,0.412967,0.0790901,-0.21586,-0.188706,0.145784
272.267,1,0.00782486,4,15,0,-269.183,-0.00636872,0.75479,0.342195,0.118983,-0.0996536,-0.203194,0.151366
271.923,0.99712,0.0144353,4,15,0,-269.434,-0.00131881,0.73127,0.412454,0.162988,-0.173251,-0.220499,0.157771
271.923,0.01898,0.0261542,1,3,0,-270.092,-0.00131881,0.73127,0.412454,0.162988,-0.173251,-0.220499,0.157771
272.549,0.990579,0.00329336,5,63,0,-267.511,-0.00258952,0.720022,0.496209,0.0920418,-0.0791529,-0.321915,0.154065
273.11,0.988819,0.00587641,5,31,0,-271.196,-0.00722495,0.708492,0.461915,0.0540068,-0.0850606,-0.242667,0.155758
272.87,0.896075,0.0103377,3,15,0,-268.489,0.00660149,0.742176,0.437486,0.0323897,-0.0996483,-0.202122,0.14687
272.706,0.952602,0.0140925,4,31,0,-270.17,-0.000605353,0.649557,0.44839,0.181251,-0.137619,-0.240078,0.15428
272.706,0.000406481,0.0221771,3,7,0,-269.822,-0.000605353,0.649557,0.44839,0.181251,-0.137619,-0.240078,0.15428
272.392,0.998062,0.00288988,6,127,0,-269.615,0.00228117,0.769674,0.412911,0.121836,-0.11194,-0.288876,0.154378
271.834,0.975911,0.00514101,5,63,0,-269.137,-0.00498937,0.678593,0.443508,0.0777727,-0.056146,-0.245505,0.163457
269.642,0.897091,0.0085618,4,31,0,-265.085,0.000242318,0.73792,0.350745,0.284555,-0.203791,-0.259527,0.141947
269.302,0.724349,0.0115709,4,15,0,-264.731,-0.0018745,0.630572,0.351174,0.297339,-0.14401,-0.228329,0.151508
