# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = arK_arK_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     max_num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 4 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 400
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = arK-arK.data.R
# init = 2 (Default)
# random
#   seed = 4220681
# output
#   file = mpi.0.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,beta.3,beta.4,beta.5,sigma
22.1903,0.666667,0.125,1,3,1,49.3507,0.0278142,-0.956396,0.945664,1.09822,-2.05357,1.6766,0.522921
22.1903,0,7.84723,0,1,1,-21.1567,0.0278142,-0.956396,0.945664,1.09822,-2.05357,1.6766,0.522921
22.1903,0,1.10816,0,1,1,-19.7263,0.0278142,-0.956396,0.945664,1.09822,-2.05357,1.6766,0.522921
22.1903,0.00273206,0.0986461,1,3,1,-16.6858,0.0278142,-0.956396,0.945664,1.09822,-2.05357,1.6766,0.522921
31.926,1,0.00724311,5,31,0,-18.7341,-0.031095,-0.827898,1.10387,1.17401,-2.04308,1.6466,0.539781
55.0473,0.997176,0.00960064,4,15,0,-28.1893,0.0286588,-0.548229,1.02984,0.955841,-2.19428,1.4794,0.493403
59.8432,0.951242,0.0145572,4,15,0,-49.2988,0.0414455,-0.453772,1.06517,1.01096,-2.05923,1.4791,0.489463
66.8018,1,0.0209157,2,3,0,-59.5295,0.0408716,-0.449895,1.06077,0.989551,-2.07318,1.40393,0.475114
126.563,0.629605,0.0369468,3,7,0,-59.2887,0.0274365,0.168917,0.785003,1.07185,-2.00932,0.794104,0.333646
140.815,0.910774,0.0209954,4,15,0,-124.099,0.0176262,0.327056,0.793627,1.08054,-1.93804,0.58228,0.32328
