# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = arK_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     max_num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 1 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 200 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = arK.data.R
# init = 2 (Default)
# random
#   seed = 4809463
# output
#   file = 0.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,beta.3,beta.4,beta.5,sigma
28.1904,1,0.125,1,1,0,111.864,0.256249,1.03091,0.0919795,-0.187369,-1.12116,1.4515,0.722111
28.1904,0,14.3855,0,1,1,-24.587,0.256249,1.03091,0.0919795,-0.187369,-1.12116,1.4515,0.722111
28.1904,0,2.43117,0,1,1,-23.719,0.256249,1.03091,0.0919795,-0.187369,-1.12116,1.4515,0.722111
28.1904,0,0.239791,0,1,1,-25.7599,0.256249,1.03091,0.0919795,-0.187369,-1.12116,1.4515,0.722111
86.4135,0.999612,0.0186273,3,7,0,-26.5101,0.0559242,0.918102,-0.00255459,-0.168826,-1.1692,1.43258,0.520137
111.147,1,0.025696,2,3,0,-83.7434,-0.00768097,1.0036,0.0826811,-0.169594,-1.17913,1.36255,0.433041
123.84,0.686891,0.0403585,2,3,0,-109.865,-0.0181372,0.976569,0.0822675,-0.1553,-1.17479,1.32567,0.380782
189.919,0.352292,0.0259015,3,9,1,-119.175,0.0016939,1.12171,0.289958,-0.0615972,-1.08626,0.69723,0.263825
219.681,0.99872,0.0059882,5,31,0,-188.225,-0.003347,1.05078,0.246126,0.0505846,-0.835842,0.451401,0.198508
225.645,0.990497,0.0108205,4,15,0,-218.408,-0.00184252,1.01234,0.296149,0.0150323,-0.769435,0.392281,0.20632
254.954,0.505549,0.0195772,4,15,0,-220.449,-0.0127984,0.742938,0.530469,0.132962,-0.545428,0.00763387,0.159556
257.917,1,0.00777848,4,15,0,-253.755,-0.00071578,0.740223,0.498801,0.176107,-0.519728,-0.0128088,0.154542
256.053,0.996486,0.0149206,3,7,0,-254.737,-0.00247856,0.699821,0.509755,0.181592,-0.543276,0.0389058,0.157478
