# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = arK_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     max_num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 4 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 200 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = arK.data.R
# init = 2 (Default)
# random
#   seed = 4809463
# output
#   file = mpi.3.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,beta.3,beta.4,beta.5,sigma
-281.793,1,0.015625,2,3,0,993.964,0.766128,-0.428307,1.06034,-0.748586,-0.28334,0.980412,0.411667
-281.793,0,14.3855,0,1,1,283.633,0.766128,-0.428307,1.06034,-0.748586,-0.28334,0.980412,0.411667
-281.793,0,2.43117,0,1,1,287.199,0.766128,-0.428307,1.06034,-0.748586,-0.28334,0.980412,0.411667
-281.793,0,0.239791,0,1,1,283.034,0.766128,-0.428307,1.06034,-0.748586,-0.28334,0.980412,0.411667
-109.334,1,0.0186273,1,1,0,248.585,0.619491,-0.394198,1.10317,-0.719718,-0.303435,0.985568,0.459034
66.4591,1,0.0257257,2,3,0,86.2679,0.0160444,-0.281402,1.21306,-0.694025,-0.294103,0.913793,0.587252
83.1003,1,0.0404064,2,3,0,-64.8544,0.0146068,-0.241752,1.21626,-0.69495,-0.365817,0.876703,0.518572
83.1003,1.17659e-05,0.0687243,1,3,1,-79.0521,0.0146068,-0.241752,1.21626,-0.69495,-0.365817,0.876703,0.518572
104.697,0.999956,0.00530105,4,15,0,-81.6426,0.00276021,-0.161542,1.26479,-0.671396,-0.274601,0.827222,0.437326
121.137,0.987206,0.00961063,4,15,0,-101.622,0.00922843,-0.163363,1.31381,-0.658055,-0.259219,0.722675,0.37936
139.781,0.88802,0.0172054,3,7,0,-117.844,-0.0317862,-0.0645632,1.34546,-0.638528,-0.267555,0.597075,0.345279
189.661,0.939704,0.0228848,3,7,0,-135.088,-3.22408e-05,0.270631,1.50347,-0.522843,-0.59211,0.353107,0.250055
193.946,0.333333,0.0361879,2,6,1,-189.466,0.00536821,0.255027,1.46448,-0.510511,-0.684444,0.349997,0.241132
218.989,0.944716,0.00858876,5,31,0,-186.373,0.00359553,0.67351,1.14319,-0.452001,-0.650372,0.265676,0.196445
219.882,0.938561,0.0140195,4,15,0,-217.007,-0.00597139,0.630148,1.1216,-0.450093,-0.678327,0.263799,0.193595
234.904,0.260218,0.0224477,4,15,0,-213.192,0.0169146,0.454057,1.10375,-0.357218,-0.347278,0.0498479,0.197218
241.613,0.989235,0.00444852,6,63,0,-228.363,-0.027691,0.513415,1.05502,-0.208373,-0.321374,-0.12794,0.197566
255.326,0.997771,0.00839503,4,15,0,-239.819,-0.0223621,0.608236,0.877659,-0.202952,-0.27417,-0.0991216,0.164803
266.242,0.800665,0.0161501,4,15,0,-252.817,-0.000531463,0.620473,0.688933,-0.0261934,-0.268178,-0.102113,0.153491
271.817,0.950281,0.0170392,4,15,0,-265.475,0.00729776,0.656458,0.591708,-0.00887488,-0.0940939,-0.246483,0.15226
271.817,2.75223e-06,0.0281057,1,3,0,-267.068,0.00729776,0.656458,0.591708,-0.00887488,-0.0940939,-0.246483,0.15226
273.174,0.993633,0.00277289,6,63,0,-270.223,0.00784522,0.653728,0.471513,0.0992295,-0.077176,-0.266078,0.14811
271.243,0.987967,0.00524229,6,63,0,-269.524,0.000632496,0.70154,0.499641,-0.0429485,0.0656352,-0.349856,0.154851
273.954,0.866103,0.00965399,5,31,0,-266.021,-0.00256865,0.685801,0.430237,0.128067,-0.0172471,-0.339213,0.149873
272.662,0.956731,0.012393,4,31,0,-272.34,0.00624941,0.649893,0.410362,0.139685,0.0786276,-0.386456,0.145648
270.434,0.0233213,0.0205342,3,15,0,-265.99,-0.00473098,0.637547,0.368226,0.137579,0.103037,-0.390712,0.1516
270.258,0.998684,0.0023981,8,255,0,-267.77,0.00858921,0.638126,0.481306,0.217725,-0.169833,-0.309968,0.15467
268.359,0.991289,0.00449748,7,127,0,-266.624,0.00310089,0.69986,0.412672,-0.00734313,0.126629,-0.28052,0.155531
269.849,0.983083,0.00817735,4,15,0,-266.406,0.000775454,0.837415,0.3953,-0.0239699,0.0232312,-0.342041,0.147672
269.145,0.893076,0.0143917,4,31,0,-263.703,0.00446495,0.569364,0.414591,0.379253,-0.0618788,-0.418969,0.151421
269.145,4.03531e-05,0.0196107,4,15,0,-264.864,0.00446495,0.569364,0.414591,0.379253,-0.0618788,-0.418969,0.151421
269.01,0.996597,0.00235117,4,31,0,-268.248,-0.00254391,0.568735,0.410291,0.366878,-0.0633298,-0.418833,0.153226
272.091,0.981175,0.00427558,6,63,0,-265.347,-0.0035497,0.743526,0.360157,0.0694812,0.101218,-0.348602,0.147812
272.221,0.99884,0.00738851,4,31,0,-270.633,0.000780986,0.720995,0.452148,0.0455678,0.0147692,-0.358269,0.155618
271.229,0.788079,0.0132612,5,31,0,-269.306,0.00495672,0.708039,0.419753,0.0251933,0.0964392,-0.313247,0.145727
269.311,0.905229,0.0135468,3,7,0,-268.059,-0.00934326,0.779463,0.385349,-0.0151942,0.109479,-0.392001,0.146197
268.276,0.230816,0.0187762,4,15,0,-264.886,-0.00116024,0.791901,0.387131,-0.154492,0.110163,-0.220594,0.156822
270.936,0.959508,0.00451825,6,63,0,-265.492,-0.0164462,0.729386,0.489785,-0.0207989,0.00325128,-0.322471,0.145557
272.519,0.961769,0.0072214,5,63,0,-269.15,0.0114871,0.680092,0.474914,0.0199939,0.0509395,-0.317198,0.152578
272.82,0.99896,0.0115235,5,31,0,-271.48,-0.00776878,0.69243,0.471323,0.14684,-0.143836,-0.26423,0.142491
272.82,0.00134578,0.0200568,3,7,0,-267.315,-0.00776878,0.69243,0.471323,0.14684,-0.143836,-0.26423,0.142491
271.896,0.998998,0.00282715,6,127,0,-268.742,0.00190073,0.674962,0.506529,0.16258,-0.184074,-0.269793,0.142934
272.587,0.889586,0.00492973,5,31,0,-265.437,0.0014907,0.600744,0.483331,0.142303,-0.0282866,-0.296986,0.1556
272.956,0.97434,0.00650273,5,63,0,-270.373,-0.00929883,0.642571,0.418663,0.200951,-0.00581068,-0.351431,0.145917
272.084,0.873457,0.0105187,5,31,0,-270.076,0.00788693,0.754087,0.3416,0.103376,0.0352206,-0.301769,0.149048
272.589,0.937043,0.0132096,4,15,0,-270.749,-9.35935e-05,0.738604,0.318912,0.163278,0.0599052,-0.38239,0.148982
272.589,2.91851e-05,0.0192851,3,7,0,-267.009,-9.35935e-05,0.738604,0.318912,0.163278,0.0599052,-0.38239,0.148982
273.924,0.998718,0.00293962,6,127,0,-271.488,0.000376731,0.661634,0.465711,0.119559,-0.0479686,-0.292331,0.14375
272.843,0.998155,0.00499613,6,63,0,-272.123,0.00145148,0.730721,0.410011,-0.00637077,0.0135198,-0.247381,0.145725
273.442,0.989344,0.00841708,4,15,0,-272.475,0.00175816,0.739655,0.451877,0.0452906,-0.0232202,-0.29938,0.15225
272.705,0.759537,0.013789,5,31,0,-269.051,-0.00221128,0.621023,0.435711,0.125497,-0.00639422,-0.287953,0.151043
271.916,0.523337,0.0131004,4,23,0,-266.054,-0.00453892,0.728905,0.353506,0.0678576,0.0784111,-0.309912,0.156991
