# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = eight_schools_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     max_num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 4 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 200 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = eight_schools.data.R
# init = 2 (Default)
# random
#   seed = 1919300
# output
#   file = mpi.0.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_trans.1,theta_trans.2,theta_trans.3,theta_trans.4,theta_trans.5,theta_trans.6,theta_trans.7,theta_trans.8,mu,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8
-8.42753,0.219256,2,1,1,0,9.44985,-0.423844,-0.320912,0.938799,-1.78237,0.475004,-0.0989758,-1.30452,0.433566,1.57593,0.205038,1.48903,1.51013,1.76842,1.21048,1.67332,1.55564,1.30845,1.66483
-8.42753,0,3.4788,0,1,1,11.0315,-0.423844,-0.320912,0.938799,-1.78237,0.475004,-0.0989758,-1.30452,0.433566,1.57593,0.205038,1.48903,1.51013,1.76842,1.21048,1.67332,1.55564,1.30845,1.66483
-8.42263,0.972135,0.386022,3,15,0,14.0307,-0.751576,-1.29256,-1.11568,-1.98682,0.203939,0.744799,0.522972,-0.454621,0.401674,1.11189,-0.433994,-1.03551,-0.838837,-1.80745,0.628431,1.22981,0.983159,-0.103814
-7.04389,0.994154,0.399322,4,15,0,12.2915,0.799559,-1.79667,0.283688,-0.0884292,1.55248,-0.0815569,0.496245,-0.4931,6.4534,0.739677,7.04481,5.12444,6.66324,6.38799,7.60173,6.39307,6.82046,6.08866
-5.05977,0.955642,0.551089,3,7,0,9.60987,0.221015,-1.27053,0.0510695,-0.106188,-1.80709,0.431512,0.458621,-0.339102,5.38366,6.11507,6.73518,-2.38574,5.69595,4.73431,-5.66685,8.02239,8.18816,3.31003
-9.17845,0.695914,0.772673,3,7,0,12.3359,-1.12983,-1.18505,-1.07589,-1.40508,-0.0719264,-1.82374,0.210607,1.67136,9.2331,3.10799,5.72159,5.54996,5.88925,4.86614,9.00955,3.56494,9.88766,14.4277
-5.43854,0.907127,0.524307,2,3,0,12.9913,-0.499408,-0.913394,-0.184603,-0.497441,-0.461026,-1.54149,0.24488,0.84509,8.6774,2.03893,7.65915,6.81506,8.30101,7.66316,7.7374,5.53441,9.1767,10.4005
-5.8507,0.441607,0.696888,3,7,0,10.459,-0.438373,-0.851959,-0.717341,0.37763,0.0785214,0.197807,-1.16197,1.37051,7.56918,1.48637,6.9176,6.30286,6.50295,8.13048,7.6859,7.8632,5.84207,9.60627
-5.70771,0.98991,0.220212,4,15,0,9.65344,-1.11482,0.187707,0.601698,0.1874,-0.229206,-1.25013,-0.242106,-0.311942,7.17394,0.585378,6.52135,7.28382,7.52616,7.28364,7.03977,6.44215,7.03222,6.99134
-4.69592,0.962853,0.393804,4,31,0,10.1832,1.16538,-0.293745,-0.110618,-0.0633261,0.507388,1.17514,0.974998,0.434261,3.10763,1.47187,4.82291,2.67527,2.94481,3.01442,3.85443,4.83727,4.54269,3.7468
-4.89388,0.998919,0.656124,3,15,0,7.80911,-0.132638,0.401009,-0.59761,0.416003,0.537117,1.36699,-0.673174,0.69199,5.13054,1.49883,4.93174,5.73159,4.23483,5.75406,5.93559,7.17943,4.12157,6.16772
-4.89388,0.0021033,1.23369,2,3,0,9.34555,-0.132638,0.401009,-0.59761,0.416003,0.537117,1.36699,-0.673174,0.69199,5.13054,1.49883,4.93174,5.73159,4.23483,5.75406,5.93559,7.17943,4.12157,6.16772
-7.2423,0.995991,0.100619,5,31,0,9.98083,2.25541,-1.24606,0.611339,1.09672,-0.0766745,0.128623,0.154912,1.31532,5.09688,1.83474,9.23497,2.81067,6.21853,7.10907,4.9562,5.33287,5.3811,7.51015
-5.67802,0.99033,0.189835,4,31,0,15.9471,0.776329,0.137327,0.353366,-0.77495,1.15711,-0.390451,1.49736,-0.422214,8.67877,3.54032,11.4272,9.16496,9.9298,5.9352,12.7753,7.29645,13.9799,7.184
-3.36251,0.96572,0.351207,3,7,0,9.33493,0.578409,-0.775499,-0.47558,-0.150337,-1.18,0.0400483,-0.324635,-0.105182,6.16638,4.18565,8.5874,2.92042,4.17577,5.53712,1.22732,6.33401,4.80757,5.72613
-4.07143,0.769012,0.599418,3,7,0,10.4016,0.414552,1.08491,-1.07779,0.930329,-0.27684,-0.847421,0.352513,0.248798,3.85922,2.55317,4.91764,6.62917,1.10744,6.2345,3.1524,1.6956,4.75924,4.49444
-4.96815,0.672578,0.555632,3,15,0,9.37908,-1.077,0.197369,0.612871,1.13717,0.0984567,-0.524548,0.464965,-0.254456,0.62277,5.30884,-5.09486,1.67057,3.87641,6.65982,1.14546,-2.16197,3.0912,-0.728095
-3.49432,0.945282,0.384648,3,7,0,7.18106,0.921305,0.213293,-0.352297,-0.691222,-0.311935,0.552057,0.916061,-0.247564,1.34022,3.19865,4.28716,2.02247,0.213351,-0.870752,0.342453,3.10606,4.27038,0.548353
-5.6333,0.844138,0.612701,3,15,0,8.62915,0.0350369,0.715823,0.0110983,-0.837136,-0.175957,0.0178212,0.284669,-2.25743,3.75739,3.00203,3.86258,5.90632,3.79071,1.24428,3.22916,3.81089,4.61198,-3.01949
-6.83643,0.933828,0.715493,3,7,0,9.44405,1.07193,-0.464994,-0.273237,1.20383,0.226769,0.310518,1.3852,2.58722,3.42686,5.24323,9.04722,0.988787,1.99421,9.73879,4.61586,5.05498,10.6898,16.9922
-6.83643,0.259144,1.08969,1,2,1,12.6195,1.07193,-0.464994,-0.273237,1.20383,0.226769,0.310518,1.3852,2.58722,3.42686,5.24323,9.04722,0.988787,1.99421,9.73879,4.61586,5.05498,10.6898,16.9922
-7.15142,0.993422,0.224335,4,31,0,12.1092,0.778268,0.727328,-0.935107,-1.00662,-0.680873,-0.566629,-0.00898044,-2.34731,6.15284,7.706,12.1502,11.7576,-1.0531,-1.60418,0.906034,1.7864,6.08364,-11.9355
-6.2176,1,0.408404,3,15,0,9.82648,0.805614,-0.626822,0.300956,1.08793,-0.220447,0.416466,1.5891,1.51247,8.63918,4.69641,12.4227,5.69536,10.0526,13.7485,7.60387,10.5951,16.1022,15.7424
-4.5803,0.909671,0.750533,3,7,0,7.74531,1.10244,-0.0726155,-1.35727,0.20767,0.238063,-0.637893,0.529578,0.126375,8.113,2.1647,10.4995,7.95581,5.17492,8.56254,8.62834,6.73215,9.25938,8.38656
-4.15439,0.191755,1.05251,3,7,0,13.6813,-0.187611,0.575741,1.25224,-0.327112,-0.14116,0.0540623,-0.523631,-0.0201611,2.02666,3.07106,1.45049,3.79479,5.87236,1.02208,1.59315,2.19268,0.418555,1.96474
-11.4213,0.935325,0.18873,4,15,0,17.2794,0.371951,1.15124,-1.39519,-0.698923,-1.47063,-0.0284889,-2.54723,-1.5362,1.23575,1.84495,1.92198,3.35973,-1.33831,-0.0537319,-1.47749,1.18319,-3.46377,-1.59846
