# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = garch_garch11_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     max_num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 1 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 200 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = garch-garch11.data.R
# init = 2 (Default)
# random
#   seed = 1569824
# output
#   file = 0.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha0,alpha1,beta1
-392.102,0.333334,0.25,2,3,0,554.476,7.19979,0.0820302,0.0436472,0.954855
-392.102,0,4.28063,0,1,1,395.459,7.19979,0.0820302,0.0436472,0.954855
-392.102,1.20001e-13,0.505111,2,3,0,393.754,7.19979,0.0820302,0.0436472,0.954855
-360.961,1,0.0405813,3,7,0,395.25,6.62201,0.092154,0.0571788,0.941815
-311.375,0.999513,0.0482795,3,7,0,364.598,5.65795,0.211021,0.0919851,0.90695
-294.618,1,0.0693973,3,7,0,313.884,4.33911,0.296577,0.194951,0.80289
-285.134,1,0.111957,2,3,0,295.687,4.75637,0.223319,0.216548,0.781525
-272.539,0.880741,0.193666,2,3,0,284.525,5.10928,0.488243,0.560331,0.438079
-273.166,0.0555806,0.24028,2,7,0,274.402,4.97043,0.481915,0.581573,0.416478
-271.005,0.999992,0.0224879,6,95,0,273.891,5.18701,1.187,0.697271,0.299791
-267.936,0.999849,0.0419695,6,127,0,272.596,5.11624,0.790505,0.419357,0.467235
-270.148,0.999949,0.0793934,5,63,0,270.554,5.02262,1.1518,0.735895,0.258641
-269.074,0.633529,0.151206,4,31,0,273.783,5.19091,0.901519,0.414669,0.403435
-267.615,0.9981,0.0914001,4,15,0,270.152,5.13632,1.45015,0.594414,0.202468
-270.182,0.412295,0.17394,5,31,0,271.722,4.84225,0.992351,0.637689,0.287427
-268.026,0.992906,0.0536777,3,7,0,271.3,5.20168,1.00616,0.600762,0.322886
-267.973,0.999391,0.100762,4,31,0,269.459,5.1222,1.36865,0.71949,0.178653
-269.379,0.575529,0.191667,2,7,0,272.231,5.05892,1.31278,0.704881,0.145974
-270.208,0.592029,0.100102,4,31,0,274.621,5.33463,1.15229,0.450079,0.403338
-267.844,0.994938,0.055587,4,15,0,272.58,4.96895,0.863891,0.393132,0.456019
-267.708,0.942812,0.103734,4,31,0,270.941,5.14844,1.34325,0.433111,0.400487
-266.824,0.988638,0.16439,3,11,0,267.806,5.08074,1.53201,0.568599,0.240955
-266.824,0.0708432,0.295882,3,7,0,268.232,5.08074,1.53201,0.568599,0.240955
-267.017,0.990482,0.0366193,5,47,0,269.254,5.1115,1.46001,0.555868,0.245843
-268.354,0.977207,0.0665122,3,15,0,268.802,5.07118,1.11615,0.555819,0.253078
-267.458,0.993458,0.11518,2,7,0,269.407,5.07309,1.2719,0.475766,0.297434
-268.153,0.148069,0.206971,3,9,0,271.146,5.22674,1.97007,0.60039,0.166865
-268.151,0.999584,0.0342748,4,31,0,269.084,4.98533,1.78744,0.56895,0.153764
-267.393,0.999925,0.0626901,4,31,0,268.566,5.0351,2.09947,0.494629,0.233914
-267.556,0.961373,0.113624,3,7,0,268.322,5.0694,1.92943,0.501236,0.289572
-266.969,0.956253,0.183487,3,11,0,268.37,4.95978,1.27151,0.470917,0.344886
-266.969,0.00302135,0.289907,2,3,0,270.956,4.95978,1.27151,0.470917,0.344886
-268.198,0.984762,0.0348727,3,15,0,270.651,5.02556,1.71923,0.430761,0.384449
-268.124,0.995956,0.0598158,3,7,0,269.096,4.89376,1.63846,0.407249,0.386135
-267.554,0.998441,0.104768,4,31,0,268.858,5.02373,0.894358,0.439113,0.407965
-267.554,6.49296e-05,0.183049,2,3,0,277.296,5.02373,0.894358,0.439113,0.407965
-269.101,0.992589,0.0234394,5,31,0,269.479,4.7858,1.47386,0.399821,0.415783
-268.725,0.997459,0.0404478,3,11,0,269.869,5.24319,1.12185,0.440947,0.37642
-266.833,0.999601,0.0700745,4,23,0,269.947,5.03185,1.1461,0.529134,0.326634
-267.746,0.833759,0.121032,3,11,0,268.358,5.14853,1.21923,0.448366,0.420986
-270.046,0.987875,0.136269,4,15,0,271.053,4.91602,1.73546,0.734936,0.239939
-268.214,0.540291,0.225496,4,15,0,270.771,4.99244,0.894974,0.62462,0.319969
-269.043,1,0.121364,4,15,0,270.366,5.11075,0.758186,0.344305,0.509413
-268.195,0.947606,0.205554,3,7,0,270.012,5.0671,0.69903,0.411961,0.476633
-268.195,0.0450815,0.303749,2,7,0,269.033,5.0671,0.69903,0.411961,0.476633
-266.949,0.999022,0.0493756,5,63,0,269.535,5.07224,1.82871,0.563793,0.235353
-267.277,0.99221,0.0829915,4,23,0,267.802,5.01325,1.44554,0.461245,0.287505
-266.925,0.908483,0.136219,2,7,0,268.587,5.0414,1.48968,0.537692,0.249589
-266.925,0.314535,0.181785,2,7,0,269.138,5.0414,1.48968,0.537692,0.249589
-267.691,0.987529,0.0590259,5,47,0,268.377,5.15897,1.20635,0.655404,0.283373
-268.863,0.924364,0.0950391,3,11,0,269.69,5.19832,1.53569,0.743898,0.219423
-268.683,0.991949,0.131136,3,15,0,270.896,5.00089,1.47731,0.70391,0.267947
-268.635,0.840518,0.210829,3,15,0,269.955,4.99437,1.56904,0.718239,0.246889
-268.964,0.149587,0.237366,3,7,0,269.959,5.00415,1.44054,0.775985,0.193769
-267.869,0.978602,0.0545909,6,95,0,271.56,5.20641,1.56187,0.646705,0.248358
-270.214,0.943036,0.0848001,5,31,0,270.793,5.21447,2.68799,0.399163,0.192449
-268.406,0.955755,0.120833,5,31,0,272.153,5.19061,1.28961,0.677331,0.189561
-267.341,0.805748,0.176386,3,15,0,269.599,5.00856,1.36619,0.45127,0.405826
-269.418,0.9177,0.183128,3,7,0,269.497,4.91668,0.975485,0.321007,0.456224
-270.226,0.276641,0.243805,2,3,0,271.79,4.92715,0.807931,0.353256,0.440953
-268.052,1,0.078278,4,23,0,271.688,5.00718,1.55149,0.653136,0.289145
-268.387,0.879745,0.125074,3,15,0,271.352,4.92874,1.44836,0.37507,0.447808
-268.016,0.935528,0.152767,3,7,0,269.373,5.15829,0.955568,0.58242,0.305368
-267.084,0.513267,0.210142,2,3,0,268.632,5.02595,1.43482,0.54459,0.340476
-267.935,0.719744,0.115572,3,15,0,270.493,4.8583,1.44483,0.537456,0.283038
-267.079,0.98975,0.0997407,3,15,0,268.441,4.97595,1.75202,0.544145,0.273103
-268.81,0.831202,0.15355,4,19,0,269.357,5.24959,0.944937,0.59735,0.332706
-267.329,0.899391,0.167921,3,11,0,269.131,4.93166,1.13791,0.544134,0.363621
-267.995,0.544579,0.211885,3,15,0,270.967,5.09537,1.38562,0.36164,0.42014
-267.872,0.961446,0.126446,4,31,0,270.213,5.00053,1.3837,0.635737,0.312807
-267.974,0.99965,0.181449,2,3,0,268.052,5.06237,1.41839,0.633174,0.317038
-267.262,0.341555,0.280807,2,7,0,268.821,5.08337,1.22042,0.649373,0.280514
-267.233,0.988619,0.110795,4,15,0,267.628,5.03069,0.99833,0.578572,0.356802
-267.099,0.973173,0.167247,3,7,0,267.672,5.00807,0.982735,0.496037,0.417293
-267.099,0.0602119,0.243537,2,5,0,267.532,5.00807,0.982735,0.496037,0.417293
-267.667,0.993624,0.0549697,5,47,0,268.492,5.04587,1.01078,0.420282,0.388254
-270.551,0.93511,0.0835687,4,15,0,271.874,4.98647,2.6788,0.692082,0.183491
-270.596,0.970793,0.112415,2,7,0,271.749,4.86109,2.48543,0.710988,0.169853
-270.542,0.892423,0.161952,3,15,0,271.964,5.08957,2.63334,0.72005,0.175765
-271.208,0.972309,0.198776,2,3,0,271.745,5.14674,1.10137,0.735786,0.140336
-271.208,0.317978,0.28536,1,3,0,274.76,5.14674,1.10137,0.735786,0.140336
-268.298,0.776938,0.111885,2,3,0,272.959,5.23498,1.79492,0.692947,0.159349
-267.105,0.985005,0.109241,3,11,0,268.984,5.13227,1.6777,0.539027,0.27386
-268.676,0.821883,0.160361,4,23,0,269.657,4.91914,0.752766,0.505418,0.395961
-268.007,0.974642,0.170632,3,11,0,271.97,5.15692,1.12556,0.678308,0.272616
