# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = sblrc_blr_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     max_num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 1 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 200 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = sblrc-blr.data.R
# init = 2 (Default)
# random
#   seed = 1540963
# output
#   file = 0.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,sigma
-11460.1,1,0.00195312,2,3,0,286050,-0.049438,0.256602,0.322383,-0.0698726,-0.835327,17.6816
-11460.1,0,14.3855,0,1,1,11461.9,-0.049438,0.256602,0.322383,-0.0698726,-0.835327,17.6816
-11460.1,0,2.43117,0,1,1,11462.5,-0.049438,0.256602,0.322383,-0.0698726,-0.835327,17.6816
-11460.1,0,0.239791,0,1,1,11465,-0.049438,0.256602,0.322383,-0.0698726,-0.835327,17.6816
-11460.1,0,0.0186273,0,1,1,11460.6,-0.049438,0.256602,0.322383,-0.0698726,-0.835327,17.6816
-9056.09,1,0.00130482,2,3,0,11401.5,-0.051255,0.241547,0.302894,-0.0672301,-0.778128,18.9726
-4064.79,1,0.00189104,3,7,0,8920.99,-0.0616818,0.196536,0.227712,-0.0449162,-0.600377,24.4093
-3645.59,1,0.00305706,1,1,0,4041.33,-0.0619624,0.189062,0.21801,-0.0444529,-0.572973,25.2207
-1414.78,1,0.00530085,4,15,0,3469.73,-0.0595277,0.112268,0.115211,-0.028938,-0.294812,33.8971
-1159.69,1,0.00961161,1,1,0,1375.8,-0.051596,0.0923826,0.0925905,-0.0196846,-0.212412,36.5237
-821.989,1,0.0179176,2,3,0,1073.66,-0.0168952,0.107134,0.0192408,0.0467502,-0.0392778,45.3487
-680.356,1,0.0339435,2,3,0,782.876,0.134224,0.119043,-0.0145472,0.10705,0.186063,60.6284
-639.513,0.333481,0.0648221,2,3,0,675.485,0.301477,0.277707,0.31125,0.256693,0.174273,77.6874
-617.505,0.961915,0.0153523,3,7,0,641.68,0.313768,0.36251,0.260895,0.317042,0.344777,69.6144
-617.599,0.978379,0.026356,2,3,0,618.944,0.333007,0.356526,0.274927,0.292905,0.339281,70.6129
-617.599,0.0138937,0.0475522,1,1,0,622.352,0.333007,0.356526,0.274927,0.292905,0.339281,70.6129
-575.968,0.995013,0.00439334,5,31,0,621.325,0.520218,0.49524,0.479184,0.496786,0.531216,56.3199
-570.348,0.96286,0.00843928,4,15,0,581.655,0.556983,0.525153,0.605116,0.534177,0.567721,56.2601
-503.034,0.983033,0.0146047,4,15,0,570.467,0.789523,0.769671,0.785249,0.775656,0.785404,39.3948
-503.46,0.566953,0.0266813,2,3,0,507.27,0.785718,0.826993,0.796864,0.794553,0.801589,40.8426
-489.35,0.704495,0.0139834,3,14,1,507.177,0.901193,0.853777,0.856471,0.883304,0.876776,38.716
-480.961,0.909053,0.011139,3,7,0,493.83,0.8825,0.938967,0.894889,0.915771,0.92575,36.3111
-481.084,0.978819,0.0162423,3,7,0,483.371,0.896305,0.933601,0.878731,0.938247,0.925965,36.3019
-474.778,0.638468,0.0288475,2,3,0,479.677,0.945277,0.9084,0.903666,0.912041,0.926122,35.1598
-474.778,0.148397,0.0190383,2,3,0,480.739,0.945277,0.9084,0.903666,0.912041,0.926122,35.1598
-472.944,0.986213,0.00312121,4,15,0,478.732,0.951769,0.930603,0.912958,0.949062,0.906127,34.1346
-469.091,0.997291,0.00566627,3,7,0,474.296,0.938416,0.927667,0.903839,0.922263,0.931923,33.7025
-461.783,0.847957,0.0105082,5,31,0,470.851,0.947712,0.965,0.961824,0.96311,0.952634,32.1523
-461.263,0.841628,0.0127261,2,3,0,463.17,0.95773,0.972066,0.957731,0.945814,0.948209,31.8239
-458.558,0.545317,0.0150983,2,3,0,464.334,0.943202,0.947206,0.96668,0.979255,0.969199,30.489
-455.027,0.990236,0.00793455,2,3,0,459.085,0.956205,0.955348,0.973297,0.977524,0.971642,30.0615
-447.516,0.841937,0.0141102,3,7,0,458.093,0.977269,0.983291,0.943069,0.972834,0.965403,27.8659
-425.818,0.878926,0.0166701,3,7,0,447.689,0.985008,0.9956,0.965779,0.98097,0.986084,22.8732
-425.818,0.0742151,0.0216799,2,3,0,427.662,0.985008,0.9956,0.965779,0.98097,0.986084,22.8732
-423.49,1,0.00332677,4,15,0,426.19,0.99162,0.982178,0.984623,0.988037,0.983184,22.6988
-422.09,1,0.00599857,3,7,0,423.845,0.985009,0.988452,0.980472,0.983325,0.988803,22.4005
-396.637,0.682486,0.0107144,3,12,1,423.479,1.0201,1.01246,1.01078,1.02177,1.01773,17.3125
-395.753,0.710622,0.00833611,2,3,0,399.043,1.02267,1.00761,1.01101,1.01451,1.01215,17.1615
-380.903,0.672119,0.00699746,4,19,0,400.918,0.979872,1.00012,1.00375,0.991775,0.984303,14.2336
-377.001,0.923137,0.00533779,2,3,0,382.874,0.986171,1.00142,0.999476,0.994349,0.998697,14.1427
-377.139,0.840624,0.00771339,2,3,0,379.789,1.00891,1.00183,0.988641,1.00768,0.994367,14.0176
-374.959,0.987019,0.00900888,2,3,0,377.606,0.997704,0.984998,1.00156,0.988778,0.993622,13.8884
-374.959,2.77094e-14,0.0151176,1,1,0,378.832,0.997704,0.984998,1.00156,0.988778,0.993622,13.8884
-375.351,0.996725,0.00218886,4,15,0,376.53,0.991468,1.00103,0.981556,0.996658,0.99259,13.9319
-369.557,0.998886,0.00377017,4,23,0,376.486,0.998441,0.986468,1.00265,0.991208,0.99723,13.1653
-368.144,1,0.00647626,1,1,0,369.29,0.997591,0.991211,0.99925,0.992037,0.996898,13.1504
-368.144,0.17918,0.0110676,2,5,0,370.146,0.997591,0.991211,0.99925,0.992037,0.996898,13.1504
-368.832,0.934478,0.00260586,3,7,0,370.558,0.99963,0.987713,1.00008,0.99445,0.99426,13.1608
-363.4,0.951981,0.00380188,5,31,0,370.684,0.989509,0.984356,0.984053,0.985619,0.982955,12.4926
-366.094,0.413606,0.00575102,3,7,0,369.494,0.999936,0.980245,0.988023,0.997019,0.993111,12.4991
-364.983,0.986972,0.00243148,3,7,0,368.156,0.987323,1.0059,0.988336,0.987433,0.993572,12.298
-360.28,0.846995,0.00397992,3,15,0,371.224,0.997035,0.997194,1.00789,0.997711,0.993772,11.9896
-357.087,0.972083,0.00467255,3,11,0,362.114,0.999487,1.00288,1.00167,0.995726,0.998714,11.7713
-353.591,0.450102,0.00730762,3,7,0,359.95,1.00705,0.994447,0.9977,0.99643,1.00266,11.2527
-352.285,0.991312,0.00342636,4,15,0,357.175,1.02483,1.01646,1.01929,1.01561,1.02193,10.8948
-350.064,0.918267,0.0055756,2,3,0,354.863,1.01255,1.0189,1.0145,1.01581,1.01219,10.8262
-347.887,1,0.00763948,2,3,0,350.343,1.0091,1.00131,1.00661,1.00518,1.00612,10.7216
-347.887,1.52736e-26,0.0125327,1,1,0,352.036,1.0091,1.00131,1.00661,1.00518,1.00612,10.7216
-342.064,0.949741,0.00217528,4,23,0,350.336,1.00387,0.995259,0.997793,1.00119,0.99429,10.0347
-339.114,0.97475,0.00319448,3,11,0,344.184,0.999101,1.00741,0.996899,0.998605,0.99691,9.70732
-335.672,0.991403,0.00493424,4,15,0,340.413,1.00761,1.01098,1.00527,1.01513,1.00918,9.32254
-333.583,0.666807,0.00786358,2,3,0,335.469,1.00981,1.00738,1.00671,1.012,1.01034,9.21884
-333.583,0.204693,0.0061267,3,15,1,337.971,1.00981,1.00738,1.00671,1.012,1.01034,9.21884
-310.032,0.993973,0.00175214,6,95,0,337.247,0.991814,0.992021,0.987515,0.990708,0.987747,7.2445
-309.424,0.850341,0.00280015,4,15,0,312.606,1.00418,1.00287,1.00162,1.00543,0.999103,7.22288
-305.018,0.998951,0.00326795,4,15,0,311.116,1.00553,1.00667,1.00641,1.00791,1.00808,6.89143
-305.018,0.0230457,0.00523002,3,10,1,306.376,1.00553,1.00667,1.00641,1.00791,1.00808,6.89143
-305.073,0.992239,0.0010454,5,31,0,306.372,1.00883,1.00743,1.00596,1.00591,1.00598,6.91334
-305.307,0.945953,0.00165055,3,7,0,306.935,1.00437,1.0032,1.0071,1.00698,1.00645,6.90791
-305.734,0.799286,0.00235205,3,15,0,310.113,1.00814,1.00027,1.00174,0.997952,1.00401,6.8295
-303.855,0.995323,0.00245631,3,15,0,309.093,1.00351,1.00586,1.00759,1.01069,1.00503,6.71169
-304.479,0.609512,0.00385442,2,3,0,307.567,1.0047,1.00265,1.00609,0.999181,1.0079,6.72823
-301.615,1,0.00270842,3,7,0,305.623,1.00519,1.00291,1.00387,0.998124,1.00201,6.62044
-300.121,0.646808,0.00426707,4,15,0,302.27,0.999788,0.999174,0.997863,1.00125,0.997573,6.61924
-300.734,0.963694,0.00324528,3,9,0,301.887,0.999647,0.998465,0.999274,0.998446,0.999111,6.68365
-298.696,0.150982,0.00472,4,15,0,303.551,0.998182,0.997952,0.996619,1.00007,0.999633,6.51509
-301.341,0.984228,0.0013162,4,23,0,303.359,1.00176,0.997633,0.999203,0.996047,0.998873,6.67605
-300.978,0.807147,0.00199604,4,31,0,306.305,0.995816,0.995626,0.992701,0.99763,0.990353,6.56285
-299.301,0.975657,0.00211236,5,31,0,303.112,0.996331,0.991941,0.988485,0.991794,0.997163,6.3962
-298.185,0.941197,0.00312762,3,7,0,300.866,0.995024,1.00214,0.996669,0.998033,0.996519,6.39104
-297.983,0.733645,0.00430698,2,7,0,301.441,0.996367,0.993022,0.998172,1.00001,0.994192,6.3374
-297.983,0.321454,0.00392118,2,3,0,300.712,0.996367,0.993022,0.998172,1.00001,0.994192,6.3374
-295.951,1,0.00158702,2,3,0,297.998,0.996295,0.995325,0.997662,0.996714,0.99643,6.33868
-297.396,0.891493,0.00244774,2,3,0,297.718,0.999087,0.993554,0.995254,0.992541,0.997711,6.35573
-295.887,0.711553,0.00304235,2,7,0,300.032,0.998407,1.00197,0.998491,0.998995,0.996691,6.30136
-282.401,0.864385,0.00266085,5,35,0,298.506,0.997529,0.994926,0.996773,0.993196,0.992814,5.42465
-283.341,0.776669,0.00312992,4,15,0,284.808,1.00517,0.999823,1.00041,0.999015,0.997974,5.45342
-274.33,0.861486,0.00310505,4,23,0,287,0.998545,0.996893,0.997675,0.999682,1.00053,5.02571
-273.806,0.746498,0.00362316,2,3,0,274.642,0.997257,1.00008,0.998052,0.997196,0.998194,5.01263
-269.168,0.563604,0.00339049,4,23,1,275.27,1.00054,0.997989,0.997883,0.999147,0.995456,4.74892
-270.618,0.659922,0.00224347,3,11,0,273.896,0.995511,0.998776,0.997044,1.00136,0.994042,4.68184
-267.963,0.999277,0.00178697,2,7,0,271.684,0.996657,0.996623,0.995828,0.99962,0.995855,4.69189
-269.045,0.539336,0.00269955,2,3,0,270.373,0.998414,0.994442,0.996116,0.991968,0.996422,4.68094
-274.451,0.61228,0.00171713,2,3,0,276.834,0.992043,1.00114,0.993735,1.00079,0.993686,4.66802
-271.621,1,0.00125605,2,3,0,275.246,0.993101,1.00025,0.993648,1.00035,0.995367,4.66243
-270.359,1,0.00189199,3,7,0,272.515,1.0032,0.995409,0.998435,0.99508,0.998728,4.68783
-268.76,0.833264,0.00283959,2,3,0,272.606,0.995473,0.997813,0.998456,1.00032,0.997988,4.68422
-270.462,0.597422,0.00312424,2,3,0,271.666,0.998257,0.998413,1.00305,0.998961,0.995344,4.67962
-267.505,0.992719,0.00222874,3,15,0,273.148,0.998597,0.994646,0.99159,0.995135,0.992256,4.58566
-267.505,0.00803655,0.00328058,2,3,0,275.768,0.998597,0.994646,0.99159,0.995135,0.992256,4.58566
-264.292,0.393625,0.205644,2,5,1,269.52,0.990944,0.9941,0.993703,0.996519,0.993573,4.38373
-264.292,0,0.982273,0,1,1,265.132,0.990944,0.9941,0.993703,0.996519,0.993573,4.38373
-261.572,1,0.119735,2,3,0,265.518,0.993137,0.996055,0.992318,0.993271,0.992289,4.34397
-258.891,0.959363,0.140759,2,3,0,263.273,0.992228,0.993561,0.989871,0.993481,0.993371,4.20893
-244.21,0.415169,0.182856,2,3,0,262.58,0.998657,0.994268,0.995154,0.994135,0.993005,3.53936
-242.951,0.981234,0.0522524,4,15,0,246.761,0.996982,0.994588,0.99515,0.993977,0.993269,3.55376
-231.61,0.887268,0.0824269,3,7,0,245.629,0.995522,0.994602,0.99182,0.993665,0.99321,3.12796
-225.446,0.726004,0.102533,2,3,0,234.177,0.993762,0.993392,0.992873,0.993336,0.993929,2.91019
-218.325,0.927135,0.0789405,4,15,0,226.363,0.995319,0.994148,0.992484,0.994388,0.994216,2.68886
-214.511,0.559572,0.116095,3,7,0,220.01,0.996519,0.996088,0.995205,0.995911,0.995184,2.60509
-214.054,0.845028,0.0540612,3,7,0,217.414,0.998224,0.997473,0.996288,0.997395,0.994999,2.55732
-208.141,0.829775,0.0625818,4,15,0,220.901,0.994361,0.994571,0.993384,0.992928,0.993183,2.32334
-178.321,0.666774,0.0694601,4,18,1,210.784,1.00053,0.99904,0.998998,1.00004,0.998733,1.59874
-177.65,0.763947,0.046434,2,7,0,182.155,1.00007,0.998058,0.998404,0.998356,0.999303,1.57091
-176.919,0.943767,0.0423696,3,15,0,181.106,1.00012,0.997265,0.998129,0.998417,0.998098,1.53256
-176.967,0.691462,0.0677861,3,7,0,179.991,0.99798,0.99744,0.997439,0.997552,0.996527,1.53867
-175.117,0.781746,0.0497013,3,7,0,179.6,0.999561,0.998329,0.999426,0.998794,0.998451,1.49516
-174.995,0.828419,0.0483193,3,7,0,177.48,1.00067,0.998822,0.997068,0.999658,0.998437,1.44529
-172.457,0.876542,0.0542202,2,3,0,175.704,0.999597,0.99946,0.998462,0.999062,0.99827,1.44261
-168.941,0.243168,0.0702686,4,15,0,177.769,1.0002,0.999048,0.998843,1.0005,0.998371,1.24591
-168.821,0.97266,0.0137348,4,31,0,173.739,0.999135,0.998817,0.997186,0.997434,0.998868,1.233
-165.704,0.965311,0.0238616,2,3,0,169.923,0.998909,0.998489,0.99768,0.998377,0.998528,1.23439
-168.154,0.892279,0.0402275,3,7,0,170.152,0.998286,0.996391,0.996206,0.996764,0.996881,1.26841
-165.087,0.391788,0.0543934,4,23,0,173.689,1.00066,0.999929,0.999666,1.00105,1.00014,1.03051
-163.09,0.996762,0.0173031,4,23,0,167.142,0.998275,0.997476,0.996701,0.997584,0.997749,1.02138
-165.173,0.746961,0.0316225,4,31,0,168.916,1.00153,1.00048,0.999471,0.999823,0.999711,0.972734
-168.744,0.569099,0.0281967,3,7,0,171.788,1.00117,1.00001,0.999426,0.998551,0.999052,0.997211
-162.853,0.999598,0.0152884,5,39,0,171.097,0.998602,0.997746,0.997252,0.998136,0.998129,1.06403
-162.373,0.986989,0.027782,4,31,0,163.783,0.998812,0.99795,0.996981,0.997845,0.99781,1.04688
-162.642,0.681926,0.048275,3,15,0,164.058,1.00016,0.999295,0.998838,0.999396,0.999642,1.06317
-164.965,0.799756,0.0360468,4,15,0,165.745,0.998354,0.997304,0.99629,0.997051,0.997939,1.04169
-166.695,0.713119,0.037247,4,31,0,169.765,1.00016,0.99931,0.999786,1.00086,0.999812,1.10932
-165.345,0.992177,0.0304591,2,3,0,168.106,1.00113,1.00015,0.999205,0.999096,0.999763,1.09936
-164.981,0.633589,0.0526691,2,3,0,166.739,1.0003,0.999501,0.999494,1.00065,0.999906,1.09974
-162.903,0.998647,0.0348969,4,23,0,165.316,0.999899,0.998922,0.998075,0.99834,0.99825,1.05248
-162.903,5.10235e-05,0.0607708,2,7,0,167.461,0.999899,0.998922,0.998075,0.99834,0.99825,1.05248
-164.985,0.98284,0.00775219,3,15,0,166.005,0.999978,0.999242,0.998421,0.998007,0.998292,1.05108
-165.786,0.992308,0.012996,4,31,0,168.049,0.99981,0.998206,0.998749,0.999929,0.999403,1.06263
-164.101,0.880206,0.022143,3,7,0,170.423,0.999768,0.999441,0.998503,0.998253,0.998645,1.06615
-162.812,0.950404,0.0281181,3,15,0,165.556,0.999423,0.997877,0.997357,0.997907,0.997741,1.05682
-163.302,0.828489,0.0424857,2,3,0,164.11,0.998661,0.998738,0.997921,0.998259,0.9984,1.05768
-164.594,0.510167,0.0469706,2,3,0,166.13,1.00035,0.997832,0.997824,0.998799,0.998409,1.04983
-164.922,0.95647,0.0234492,3,15,0,166.882,0.998351,0.999059,0.998011,0.998454,0.998292,1.06204
-165.689,0.838473,0.0356763,4,19,0,168.145,0.999888,0.997488,0.997224,0.997519,0.998301,1.03074
-166.269,0.927961,0.0403697,3,11,0,169.977,1.00218,1.00032,1.00035,1.00054,1.00112,1.02561
-165.359,0.0894592,0.0567173,3,7,0,169.641,1.00098,1.00055,0.999266,0.99959,0.999061,1.02471
-168.519,0.980359,0.0104032,4,15,0,170.177,0.999679,0.999546,0.999939,1.00078,1.00009,1.03243
-163.753,0.989598,0.0166525,3,7,0,171.759,1.00016,0.999958,0.999196,0.999792,1.00007,1.03929
-163.011,0.974729,0.0270712,3,15,0,165.278,1.00046,0.99879,0.998191,0.998721,0.998623,1.0385
-162.405,0.676253,0.0421975,4,23,0,164.732,0.999006,0.997751,0.996958,0.997875,0.997817,1.01309
-163.231,0.31372,0.0647031,3,7,0,166.271,0.999038,0.99885,0.998068,0.998663,0.998827,0.953613
-163.231,0,0.267267,0,1,1,165.143,0.999038,0.99885,0.998068,0.998663,0.998827,0.953613
-163.131,0.937621,0.0312058,3,7,0,165.162,0.998861,0.998493,0.998234,0.998597,0.998599,0.962315
-164.339,0.943059,0.0303128,3,15,0,165.841,1.00056,0.99924,0.998694,0.999007,0.998524,0.931435
-166.447,0.927288,0.0365709,4,15,0,168.813,0.999375,0.998075,0.998646,0.99894,0.999219,0.89859
-165.237,0.936783,0.0471709,4,15,0,168.402,0.999528,0.998811,0.998998,0.998487,0.99824,1.17353
-166.209,0.92605,0.0668157,2,3,0,167.056,0.999904,0.998168,0.997356,0.999215,0.998863,1.19269
-166.209,2.86178e-06,0.0952618,2,3,0,170.714,0.999904,0.998168,0.997356,0.999215,0.998863,1.19269
-167.184,0.996771,0.00756844,5,31,0,169.986,0.999463,0.997905,0.999326,0.998061,0.998578,1.16534
-163.806,0.974226,0.0137888,3,15,0,174.41,0.999642,0.998403,0.998406,0.998255,0.998436,1.15119
-164.113,0.974523,0.0237948,3,7,0,165.74,0.999587,0.998041,0.998311,0.998357,0.998496,1.16474
