# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = sblrc_blr_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     max_num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 4 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 200 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = sblrc-blr.data.R
# init = 2 (Default)
# random
#   seed = 1540963
# output
#   file = mpi.0.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,sigma
-11460.1,1,0.00195312,2,3,0,286050,-0.049438,0.256602,0.322383,-0.0698726,-0.835327,17.6816
-11460.1,0,14.3855,0,1,1,11461.9,-0.049438,0.256602,0.322383,-0.0698726,-0.835327,17.6816
-11460.1,0,2.43117,0,1,1,11462.5,-0.049438,0.256602,0.322383,-0.0698726,-0.835327,17.6816
-11460.1,0,0.239791,0,1,1,11465,-0.049438,0.256602,0.322383,-0.0698726,-0.835327,17.6816
-11460.1,0,0.0186273,0,1,1,11460.6,-0.049438,0.256602,0.322383,-0.0698726,-0.835327,17.6816
-9056.09,1,0.00130482,2,3,0,11401.5,-0.051255,0.241547,0.302894,-0.0672301,-0.778128,18.9726
-4064.79,1,0.00189104,3,7,0,8920.99,-0.0616818,0.196536,0.227712,-0.0449162,-0.600377,24.4093
-3645.59,1,0.00305706,1,1,0,4041.33,-0.0619624,0.189062,0.21801,-0.0444529,-0.572973,25.2207
-1414.78,1,0.00530085,4,15,0,3469.73,-0.0595277,0.112268,0.115211,-0.028938,-0.294812,33.8971
-1159.69,1,0.00961161,1,1,0,1375.8,-0.051596,0.0923826,0.0925905,-0.0196846,-0.212412,36.5237
-821.989,1,0.0179176,2,3,0,1073.66,-0.0168952,0.107134,0.0192408,0.0467502,-0.0392778,45.3487
-680.356,1,0.0339435,2,3,0,782.876,0.134224,0.119043,-0.0145472,0.10705,0.186063,60.6284
-639.513,0.333481,0.0648221,2,3,0,675.485,0.301477,0.277707,0.31125,0.256693,0.174273,77.6874
-617.505,0.961915,0.0153523,3,7,0,641.68,0.313768,0.36251,0.260895,0.317042,0.344777,69.6144
-617.599,0.978379,0.026356,2,3,0,618.944,0.333007,0.356526,0.274927,0.292905,0.339281,70.6129
-617.599,0.0138937,0.0475522,1,1,0,622.352,0.333007,0.356526,0.274927,0.292905,0.339281,70.6129
-575.968,0.995013,0.00439334,5,31,0,621.325,0.520218,0.49524,0.479184,0.496786,0.531216,56.3199
-570.348,0.96286,0.00843928,4,15,0,581.655,0.556983,0.525153,0.605116,0.534177,0.567721,56.2601
-503.034,0.983033,0.0146047,4,15,0,570.467,0.789523,0.769671,0.785249,0.775656,0.785404,39.3948
-503.46,0.566953,0.0266813,2,3,0,507.27,0.785718,0.826993,0.796864,0.794553,0.801589,40.8426
-489.35,0.704495,0.0139834,3,14,1,507.177,0.901193,0.853777,0.856471,0.883304,0.876776,38.716
-480.961,0.909053,0.011139,3,7,0,493.83,0.8825,0.938967,0.894889,0.915771,0.92575,36.3111
-481.084,0.978819,0.0162423,3,7,0,483.371,0.896305,0.933601,0.878731,0.938247,0.925965,36.3019
-474.778,0.638468,0.0288475,2,3,0,479.677,0.945277,0.9084,0.903666,0.912041,0.926122,35.1598
-474.778,0.148397,0.0190383,2,3,0,480.739,0.945277,0.9084,0.903666,0.912041,0.926122,35.1598
-472.944,0.986213,0.00312121,4,15,0,478.732,0.951769,0.930603,0.912958,0.949062,0.906127,34.1346
-469.091,0.997291,0.00566627,3,7,0,474.296,0.938416,0.927667,0.903839,0.922263,0.931923,33.7025
-461.783,0.847957,0.0105082,5,31,0,470.851,0.947712,0.965,0.961824,0.96311,0.952634,32.1523
-461.263,0.841628,0.0127261,2,3,0,463.17,0.95773,0.972066,0.957731,0.945814,0.948209,31.8239
-458.558,0.545317,0.0150983,2,3,0,464.334,0.943202,0.947206,0.96668,0.979255,0.969199,30.489
-455.027,0.990236,0.00793455,2,3,0,459.085,0.956205,0.955348,0.973297,0.977524,0.971642,30.0615
-447.516,0.841937,0.0141102,3,7,0,458.093,0.977269,0.983291,0.943069,0.972834,0.965403,27.8659
-425.818,0.878926,0.0166701,3,7,0,447.689,0.985008,0.9956,0.965779,0.98097,0.986084,22.8732
-425.818,0.0742151,0.0216799,2,3,0,427.662,0.985008,0.9956,0.965779,0.98097,0.986084,22.8732
-423.49,1,0.00332677,4,15,0,426.19,0.99162,0.982178,0.984623,0.988037,0.983184,22.6988
-422.09,1,0.00599857,3,7,0,423.845,0.985009,0.988452,0.980472,0.983325,0.988803,22.4005
-396.637,0.682486,0.0107144,3,12,1,423.479,1.0201,1.01246,1.01078,1.02177,1.01773,17.3125
-395.753,0.710622,0.00833611,2,3,0,399.043,1.02267,1.00761,1.01101,1.01451,1.01215,17.1615
-380.903,0.672119,0.00699746,4,19,0,400.918,0.979872,1.00012,1.00375,0.991775,0.984303,14.2336
-377.001,0.923137,0.00533779,2,3,0,382.874,0.986171,1.00142,0.999476,0.994349,0.998697,14.1427
-377.139,0.840624,0.00771339,2,3,0,379.789,1.00891,1.00183,0.988641,1.00768,0.994367,14.0176
-374.959,0.987019,0.00900888,2,3,0,377.606,0.997704,0.984998,1.00156,0.988778,0.993622,13.8884
-374.959,2.77094e-14,0.0151176,1,1,0,378.832,0.997704,0.984998,1.00156,0.988778,0.993622,13.8884
-375.351,0.996725,0.00218886,4,15,0,376.53,0.991468,1.00103,0.981556,0.996658,0.99259,13.9319
-369.557,0.998886,0.00377017,4,23,0,376.486,0.998441,0.986468,1.00265,0.991208,0.99723,13.1653
-368.144,1,0.00647626,1,1,0,369.29,0.997591,0.991211,0.99925,0.992037,0.996898,13.1504
-368.144,0.17918,0.0110676,2,5,0,370.146,0.997591,0.991211,0.99925,0.992037,0.996898,13.1504
-368.832,0.934478,0.00260586,3,7,0,370.558,0.99963,0.987713,1.00008,0.99445,0.99426,13.1608
-363.4,0.951981,0.00380188,5,31,0,370.684,0.989509,0.984356,0.984053,0.985619,0.982955,12.4926
-366.094,0.413606,0.00575102,3,7,0,369.494,0.999936,0.980245,0.988023,0.997019,0.993111,12.4991
-364.983,0.986972,0.00243148,3,7,0,368.156,0.987323,1.0059,0.988336,0.987433,0.993572,12.298
-360.28,0.846995,0.00397992,3,15,0,371.224,0.997035,0.997194,1.00789,0.997711,0.993772,11.9896
-357.087,0.972083,0.00467255,3,11,0,362.114,0.999487,1.00288,1.00167,0.995726,0.998714,11.7713
-353.591,0.450102,0.00730762,3,7,0,359.95,1.00705,0.994447,0.9977,0.99643,1.00266,11.2527
-352.285,0.991312,0.00342636,4,15,0,357.175,1.02483,1.01646,1.01929,1.01561,1.02193,10.8948
-350.064,0.918267,0.0055756,2,3,0,354.863,1.01255,1.0189,1.0145,1.01581,1.01219,10.8262
-347.887,1,0.00763948,2,3,0,350.343,1.0091,1.00131,1.00661,1.00518,1.00612,10.7216
-347.887,1.52736e-26,0.0125327,1,1,0,352.036,1.0091,1.00131,1.00661,1.00518,1.00612,10.7216
-342.064,0.949741,0.00217528,4,23,0,350.336,1.00387,0.995259,0.997793,1.00119,0.99429,10.0347
-339.114,0.97475,0.00319448,3,11,0,344.184,0.999101,1.00741,0.996899,0.998605,0.99691,9.70732
-335.672,0.991403,0.00493424,4,15,0,340.413,1.00761,1.01098,1.00527,1.01513,1.00918,9.32254
-333.583,0.666807,0.00786358,2,3,0,335.469,1.00981,1.00738,1.00671,1.012,1.01034,9.21884
-333.583,0.204693,0.0061267,3,15,1,337.971,1.00981,1.00738,1.00671,1.012,1.01034,9.21884
-310.032,0.993973,0.00175214,6,95,0,337.247,0.991814,0.992021,0.987515,0.990708,0.987747,7.2445
-309.424,0.850341,0.00280015,4,15,0,312.606,1.00418,1.00287,1.00162,1.00543,0.999103,7.22288
-305.018,0.998951,0.00326795,4,15,0,311.116,1.00553,1.00667,1.00641,1.00791,1.00808,6.89143
-305.018,0.0230457,0.00523002,3,10,1,306.376,1.00553,1.00667,1.00641,1.00791,1.00808,6.89143
-305.073,0.992239,0.0010454,5,31,0,306.372,1.00883,1.00743,1.00596,1.00591,1.00598,6.91334
-305.307,0.945953,0.00165055,3,7,0,306.935,1.00437,1.0032,1.0071,1.00698,1.00645,6.90791
-305.734,0.799286,0.00235205,3,15,0,310.113,1.00814,1.00027,1.00174,0.997952,1.00401,6.8295
-303.855,0.995323,0.00245631,3,15,0,309.093,1.00351,1.00586,1.00759,1.01069,1.00503,6.71169
-304.479,0.609512,0.00385442,2,3,0,307.567,1.0047,1.00265,1.00609,0.999181,1.0079,6.72823
-301.615,1,0.00270842,3,7,0,305.623,1.00519,1.00291,1.00387,0.998124,1.00201,6.62044
-300.121,0.646808,0.00426707,4,15,0,302.27,0.999788,0.999174,0.997863,1.00125,0.997573,6.61924
-300.734,0.963694,0.00324528,3,9,0,301.887,0.999647,0.998465,0.999274,0.998446,0.999111,6.68365
-298.696,0.150982,0.00472,4,15,0,303.551,0.998182,0.997952,0.996619,1.00007,0.999633,6.51509
-301.341,0.984228,0.0013162,4,23,0,303.359,1.00176,0.997633,0.999203,0.996047,0.998873,6.67605
-300.978,0.807147,0.00199604,4,31,0,306.305,0.995816,0.995626,0.992701,0.99763,0.990353,6.56285
-299.301,0.975657,0.00211236,5,31,0,303.112,0.996331,0.991941,0.988485,0.991794,0.997163,6.3962
-298.185,0.941197,0.00312762,3,7,0,300.866,0.995024,1.00214,0.996669,0.998033,0.996519,6.39104
-297.983,0.733645,0.00430698,2,7,0,301.441,0.996367,0.993022,0.998172,1.00001,0.994192,6.3374
-297.983,0.321454,0.00392118,2,3,0,300.712,0.996367,0.993022,0.998172,1.00001,0.994192,6.3374
-295.951,1,0.00158702,2,3,0,297.998,0.996295,0.995325,0.997662,0.996714,0.99643,6.33868
-297.396,0.891493,0.00244774,2,3,0,297.718,0.999087,0.993554,0.995254,0.992541,0.997711,6.35573
-295.887,0.711553,0.00304235,2,7,0,300.032,0.998407,1.00197,0.998491,0.998995,0.996691,6.30136
-282.401,0.864385,0.00266085,5,35,0,298.506,0.997529,0.994926,0.996773,0.993196,0.992814,5.42465
-283.341,0.776669,0.00312992,4,15,0,284.808,1.00517,0.999823,1.00041,0.999015,0.997974,5.45342
-274.33,0.861486,0.00310505,4,23,0,287,0.998545,0.996893,0.997675,0.999682,1.00053,5.02571
-273.806,0.746498,0.00362316,2,3,0,274.642,0.997257,1.00008,0.998052,0.997196,0.998194,5.01263
-269.168,0.563604,0.00339049,4,23,1,275.27,1.00054,0.997989,0.997883,0.999147,0.995456,4.74892
-270.618,0.659922,0.00224347,3,11,0,273.896,0.995511,0.998776,0.997044,1.00136,0.994042,4.68184
-267.963,0.999277,0.00178697,2,7,0,271.684,0.996657,0.996623,0.995828,0.99962,0.995855,4.69189
-269.045,0.539336,0.00269955,2,3,0,270.373,0.998414,0.994442,0.996116,0.991968,0.996422,4.68094
-274.451,0.61228,0.00171713,2,3,0,276.834,0.992043,1.00114,0.993735,1.00079,0.993686,4.66802
-271.621,1,0.00125605,2,3,0,275.246,0.993101,1.00025,0.993648,1.00035,0.995367,4.66243
-270.359,1,0.00189199,3,7,0,272.515,1.0032,0.995409,0.998435,0.99508,0.998728,4.68783
-268.76,0.833264,0.00283959,2,3,0,272.606,0.995473,0.997813,0.998456,1.00032,0.997988,4.68422
-270.462,0.597422,0.00312424,2,3,0,271.666,0.998257,0.998413,1.00305,0.998961,0.995344,4.67962
-267.505,0.992719,0.00222874,3,15,0,273.148,0.998597,0.994646,0.99159,0.995135,0.992256,4.58566
-267.505,0.00803655,0.00328058,2,3,0,275.768,0.998597,0.994646,0.99159,0.995135,0.992256,4.58566
-196.696,1,0.320409,1,1,0,259.792,0.997551,0.998525,0.994584,0.995498,0.995634,1.96696
-196.696,0,5.9166,0,1,1,198.307,0.997551,0.998525,0.994584,0.995498,0.995634,1.96696
-196.696,0,0.999912,0,1,1,204.039,0.997551,0.998525,0.994584,0.995498,0.995634,1.96696
-166.146,1,0.0986235,3,7,0,189.301,0.999888,0.998312,0.998667,0.998695,0.998451,0.852297
-166.146,6.96752e-19,0.133394,1,1,0,168.977,0.999888,0.998312,0.998667,0.998695,0.998451,0.852297
-164.946,0.997584,0.0105807,6,63,0,169.616,1.00023,0.999941,0.99863,1.00009,0.999666,0.911997
-162.866,0.999873,0.0164962,4,31,0,166.123,1.00021,0.998573,0.998846,0.999069,0.998557,0.98718
-163.17,0.977843,0.0280427,3,7,0,164.806,0.999529,0.99815,0.99858,0.999122,0.998732,0.976611
-161.784,0.977288,0.0467344,2,3,0,163.66,0.999894,0.999119,0.998338,0.998983,0.998621,1.00113
-161.784,0.436307,0.0800527,1,3,0,164.026,0.999894,0.999119,0.998338,0.998983,0.998621,1.00113
-162.493,0.983937,0.0252069,3,15,0,163.016,0.999131,0.998901,0.997758,0.998948,0.99853,0.994967
-164.365,0.876739,0.0453267,3,15,0,166.719,0.998394,0.99877,0.997829,0.99871,0.998249,0.980253
-163.777,0.999028,0.058506,2,7,0,166.64,0.999562,0.99824,0.998153,0.997661,0.998339,1.05484
-163.777,0.0524858,0.111267,2,7,0,166.539,0.999562,0.99824,0.998153,0.997661,0.998339,1.05484
-163.929,0.996315,0.0110339,4,15,0,165.555,1.00001,0.99839,0.997898,0.997956,0.998027,1.05774
-165.045,0.977814,0.0210429,3,7,0,167.301,0.999675,0.997378,0.997419,0.998594,0.99869,1.04298
-165.007,0.999109,0.0377214,3,15,0,167.369,0.998433,0.998573,0.996958,0.998184,0.997044,1.09576
-163.323,0.828134,0.0717407,2,7,0,168.391,0.998382,0.997528,0.997448,0.998022,0.998106,1.02642
-164.689,0.755425,0.0806187,3,15,0,166.73,1.0003,0.999512,0.999866,0.999792,0.998753,1.05907
-165.415,0.921893,0.0727689,2,3,0,166.08,1.00038,0.99961,0.99775,0.999313,0.999764,1.02915
-165.415,0.00517633,0.108188,2,3,0,171.024,1.00038,0.99961,0.99775,0.999313,0.999764,1.02915
-167.952,0.996355,0.0106375,5,47,0,171.197,1.00056,0.999774,0.997649,0.999197,1.00014,1.07171
-166.721,0.999899,0.0198929,4,31,0,172.507,0.999164,0.998364,0.998624,0.998993,0.997468,0.940409
-164.976,0.993979,0.0372164,3,7,0,167.856,1.0001,0.99853,0.998037,0.998405,0.999254,0.923635
-163.258,0.739544,0.067756,2,3,0,167.457,0.999852,0.998369,0.998008,0.999163,0.998061,0.976589
-165.857,0.767922,0.0590418,2,7,0,166.637,0.999152,0.999254,0.997102,0.998034,0.998758,1.01966
-163.438,0.963131,0.0558991,2,3,0,167.737,0.998838,0.99898,0.997885,0.998899,0.998112,0.973831
-164.719,0.521785,0.0916743,2,7,0,168.283,0.999008,0.997907,0.996954,0.997639,0.996786,1.03286
-163.85,0.99713,0.0436215,3,15,0,166.201,0.999527,0.998621,0.998429,0.999225,0.999523,1.02649
-163.464,0.885525,0.0781096,2,7,0,166.073,0.998908,0.997855,0.996808,0.997539,0.998148,1.03459
-163.464,0.000119633,0.10204,1,1,0,169.152,0.998908,0.997855,0.996808,0.997539,0.998148,1.03459
-164.711,0.989484,0.0119825,5,47,0,168.047,1.00039,0.999105,0.999003,0.999371,0.99817,1.09126
-165.033,0.997486,0.0209404,4,31,0,167.088,0.998772,0.997763,0.997394,0.997895,0.998856,1.08724
-163.554,0.99521,0.0370464,4,23,0,166.812,0.999819,0.999461,0.998025,0.999588,0.999175,1.09897
-163.48,0.868877,0.0645463,2,7,0,165.429,0.999784,0.99849,0.998275,0.99935,0.999225,1.09992
-163.764,0.728278,0.0799582,2,7,0,166.807,1.00098,1.00003,1.00002,1.00014,0.999396,1.04382
-163.221,0.634432,0.0684007,2,3,0,166.382,1.00124,0.999561,0.999434,0.999986,0.999846,0.996209
-165.908,0.679838,0.0460018,3,7,0,168.574,1.00009,0.99919,0.999417,0.998811,0.998071,1.05985
-163.498,0.997257,0.0349737,3,15,0,167.4,1.00062,0.999521,0.998925,0.999615,1.0001,1.05727
-162.805,0.976392,0.059958,3,7,0,164.521,1.00021,0.998996,0.998708,0.999632,0.998548,1.03486
-163.019,0.942398,0.0967045,3,11,0,163.69,0.999102,0.997865,0.997789,0.998817,0.99787,1.05315
-163.019,1.12375e-07,0.142179,3,7,0,166.879,0.999102,0.997865,0.997789,0.998817,0.99787,1.05315
-164.832,0.978734,0.0198403,4,31,0,166.157,0.999791,0.999495,0.998154,0.998152,0.999029,1.05983
-164.91,0.955304,0.032095,3,15,0,170.135,1.00086,0.999817,1.00013,1.00084,0.999859,0.974555
-167.757,0.818214,0.0486694,4,15,0,171.347,1.00168,1.00004,1.00069,1.0012,1.00017,1.21768
-167.705,0.996949,0.0525059,3,7,0,169.207,1.00127,1.00055,0.999244,1.00021,1.00026,1.26929
-167.585,0.887188,0.0872288,2,3,0,169.979,1.00204,1.00058,0.999862,1.00127,1.00066,1.2243
-162.188,0.883854,0.110491,2,3,0,166.971,1.00054,0.999485,0.999176,0.999694,0.999626,1.02358
-162.188,6.26647e-13,0.138381,2,3,0,168.061,1.00054,0.999485,0.999176,0.999694,0.999626,1.02358
-164.497,0.979399,0.0212136,5,31,0,166.715,0.997875,0.997096,0.996369,0.996813,0.997243,1.1151
-164.259,0.954825,0.0335385,4,31,0,167.086,0.997894,0.996761,0.996214,0.997122,0.996428,1.03291
-166.721,0.924444,0.0497484,3,7,0,168.491,0.997035,0.996244,0.995669,0.996496,0.99562,1.11457
-163.877,0.946322,0.068394,3,7,0,168.398,0.999953,0.998762,0.998559,0.99861,0.999326,0.92959
-163.877,0.0254031,0.0984846,3,7,0,165.957,0.999953,0.998762,0.998559,0.99861,0.999326,0.92959
-162.981,0.98983,0.0170293,4,15,0,166.627,0.999378,0.998635,0.998127,0.999211,0.997976,1.00764
-163.644,0.943964,0.0271868,4,15,0,167.592,0.998538,0.998593,0.997209,0.997912,0.997987,1.09147
-163.754,0.940141,0.0388811,3,7,0,166.041,0.998402,0.998471,0.997839,0.998722,0.99818,1.04688
-163.278,0.911,0.0548771,3,15,0,165.631,1.0004,0.998569,0.998145,0.998963,0.999277,1.04201
-163.604,0.967893,0.072245,2,7,0,166.426,1.00076,0.99979,1.00011,1.00012,0.999766,1.07746
-163.604,0.00912357,0.107582,1,1,0,167.33,1.00076,0.99979,1.00011,1.00012,0.999766,1.07746
-164.351,0.978971,0.0190998,4,15,0,167.741,1.00173,1.00083,1.00014,1.00085,1.00061,1.00133
