# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = sblrc_blr_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     max_num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 4 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 200 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = sblrc-blr.data.R
# init = 2 (Default)
# random
#   seed = 1540963
# output
#   file = mpi.3.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,sigma
-1.13526e+07,1,6.10352e-05,1,1,0,4.01318e+08,-0.813616,-1.62017,-1.72602,-1.22789,-1.30818,0.62645
-1.13526e+07,0,14.3855,0,1,1,1.13526e+07,-0.813616,-1.62017,-1.72602,-1.22789,-1.30818,0.62645
-1.13526e+07,0,2.43117,0,1,1,1.13526e+07,-0.813616,-1.62017,-1.72602,-1.22789,-1.30818,0.62645
-1.13526e+07,0,0.239791,0,1,1,1.13526e+07,-0.813616,-1.62017,-1.72602,-1.22789,-1.30818,0.62645
-1.13526e+07,0,0.0186273,0,1,1,1.13526e+07,-0.813616,-1.62017,-1.72602,-1.22789,-1.30818,0.62645
-1.13526e+07,0,0.00130482,0,1,1,1.13526e+07,-0.813616,-1.62017,-1.72602,-1.22789,-1.30818,0.62645
-9.27488e+06,1,8.85015e-05,1,1,0,1.1167e+07,-0.830082,-1.59914,-1.70925,-1.23007,-1.29804,0.684632
-6.29253e+06,1,0.000135987,1,1,0,8.8229e+06,-0.860406,-1.559,-1.67683,-1.23371,-1.27896,0.812632
-3.01366e+06,1,0.000228818,2,3,0,5.54203e+06,-0.912816,-1.48344,-1.61594,-1.23753,-1.24378,1.12934
-1.00034e+06,1,0.000408639,3,15,0,2.47428e+06,-0.975944,-1.37634,-1.52556,-1.23396,-1.19348,1.86817
-292511,1,0.000758439,1,1,0,806254,-1.01656,-1.26993,-1.43064,-1.21357,-1.14062,3.31958
-81714.9,1,0.00144197,3,7,0,234239,-1.02312,-1.17442,-1.34444,-1.17429,-1.09077,6.08885
-22310.5,1,0.00278004,2,3,0,65139.5,-1.00383,-1.09336,-1.26551,-1.12267,-1.03217,11.3785
-6253.18,1,0.00539629,1,1,0,17800.9,-0.954275,-1.03314,-1.18557,-1.0732,-0.970568,21.4282
-2049.64,1,0.0104922,1,1,0,5050.68,-0.908943,-0.961891,-1.12656,-1.0059,-0.918016,40.1704
-960.567,1,0.0203599,2,7,0,1757.61,-0.857595,-0.868965,-1.03549,-0.929917,-0.855678,77.5501
-808.76,1,0.0393257,2,3,0,901.309,-0.801498,-0.771917,-0.935907,-0.925849,-0.810818,124.621
-808.76,8.98584e-09,0.0754671,2,3,0,817.194,-0.801498,-0.771917,-0.935907,-0.925849,-0.810818,124.621
-806.221,0.999996,0.00693959,4,15,0,809.519,-0.810043,-0.74821,-0.926014,-0.888918,-0.797928,125.185
-802.981,0.981153,0.0134211,4,15,0,809.826,-0.735737,-0.717024,-0.90706,-0.922837,-0.723071,129.897
-774.1,0.92438,0.0243198,3,7,0,807.204,-0.52736,-0.590053,-0.804239,-0.542591,-0.517091,122.358
-770.218,0.807446,0.0369415,2,3,0,777.867,-0.49365,-0.577521,-0.709275,-0.578057,-0.582174,116.76
-758.232,0.763145,0.0395873,4,15,0,771.737,-0.459625,-0.513043,-0.602315,-0.481357,-0.493503,113.562
-725.511,0.765976,0.0372801,3,7,0,760.984,-0.267672,-0.29985,-0.34272,-0.327513,-0.22682,108.143
-704.664,0.857251,0.0354508,2,3,0,728.586,-0.140297,-0.149227,-0.261293,-0.182732,-0.108082,93.0181
-701.622,0.746099,0.0438118,2,3,0,706.933,-0.0531807,-0.112808,-0.212267,-0.192968,-0.129377,99.4429
-505.323,0.604097,0.0393896,3,8,1,699.406,0.890174,0.85798,0.890077,0.912965,0.862857,44.7474
-506.469,0.635024,0.0238142,3,7,0,510.266,0.852613,0.894008,0.919423,0.906382,0.850472,44.0368
-497.994,0.828123,0.0158292,2,3,0,511.506,0.940099,0.912901,0.852115,0.860951,0.922372,40.6931
-485.886,0.940193,0.0180591,3,7,0,500.615,0.873058,0.906709,0.933298,0.943679,0.891338,36.5053
-485.886,0.000848147,0.0279444,2,3,0,491.409,0.873058,0.906709,0.933298,0.943679,0.891338,36.5053
-480.973,0.99265,0.00334787,5,31,0,489.608,0.971425,0.939684,0.882786,0.898345,0.949331,34.8712
-453.345,0.997582,0.00600628,4,15,0,485.857,1.00059,1.03907,1.00589,1.00987,1.01834,29.4733
-441.178,0.861098,0.0108145,3,7,0,456.822,1.03125,1.01899,1.01829,1.03029,1.01445,26.6416
-441.178,0.507406,0.0134324,2,3,0,445.771,1.03125,1.01899,1.01829,1.03029,1.01445,26.6416
-440.838,0.997538,0.00655931,4,15,0,441.665,1.03139,1.02049,1.01994,1.02334,1.01641,26.653
-442.426,0.880674,0.0116328,3,7,0,444.396,1.0033,1.01704,1.01728,1.0138,1.02006,27.0628
-420.735,0.492895,0.0151075,4,15,0,444.457,1.02286,1.03004,1.02378,1.01051,1.02911,21.6821
-420.586,0.959587,0.00721623,2,7,0,423.263,1.03059,1.01812,1.02481,1.0174,1.02645,21.8644
-420.021,0.524262,0.0114514,2,3,0,424.502,1.03095,1.01759,1.0086,1.0299,1.02121,21.5305
-420.232,1,0.00599808,3,7,0,421.026,1.02992,1.01698,1.00719,1.02459,1.0254,21.6037
-412.363,0.604825,0.0104725,2,7,0,425.104,1.01024,1.01824,1.02711,1.00167,1.00437,19.8683
-410.259,0.937232,0.00677096,2,3,0,413.794,1.00183,1.01137,1.0218,1.0086,1.01308,19.7552
-408.142,0.518676,0.010026,2,3,0,412.606,1.02182,1.00752,1.0018,1.00519,1.0023,19.2815
-404.234,0.997579,0.00527805,3,7,0,409.333,0.984575,0.999117,1.004,0.998761,1.00254,18.5319
-389.63,0.419594,0.00901605,3,14,1,407.884,0.997921,1.00849,1.01749,0.997907,1.00931,15.9139
-385.608,0.950307,0.00376849,3,7,0,393.386,1.0163,1.00193,0.999922,1.01758,1.00792,15.3062
-371.093,0.628691,0.00571338,4,28,1,390.094,0.978597,0.98379,0.969058,0.971095,0.983016,13.1074
-368.092,0.989144,0.00399338,4,15,0,372.857,0.992518,0.986003,0.996253,0.998165,0.987261,12.948
-366.827,0.985731,0.00659538,3,7,0,368.96,0.994589,0.994721,0.99139,0.993981,0.99484,13.0462
-366.827,0.0252446,0.0107305,1,1,0,368.27,0.994589,0.994721,0.99139,0.993981,0.99484,13.0462
-368.312,0.990492,0.0018298,4,15,0,368.766,0.997777,0.988965,0.997556,0.994654,0.993923,13.169
-368.091,0.998444,0.00301475,5,31,0,369.784,1.00525,1.00349,0.997782,1.00677,1.00028,13.1461
-370.152,0.744467,0.00502529,4,15,0,373.662,0.988756,0.984375,0.974385,0.987781,0.987585,13.2296
-363.362,0.859491,0.00464333,4,15,0,374.072,1.02256,1.00972,1.01781,1.00864,1.01603,12.2379
-361.201,0.725743,0.00558235,3,7,0,366.953,1.00699,1.01767,1.0148,1.00223,1.012,11.8943
-350.161,0.863185,0.0049429,4,15,0,363.535,0.982612,0.979042,0.976164,0.979362,0.980437,10.8182
-346.915,0.504984,0.00597338,2,7,0,353.799,0.991132,0.985369,0.988626,0.984992,0.989623,10.5751
-335.423,0.725251,0.00322774,4,23,0,358.434,0.987686,0.993929,0.998941,0.988832,0.985281,9.07659
-330.535,0.984385,0.0028687,4,23,0,338.069,1.00294,1.01223,1.01613,1.01008,1.00915,8.68791
-329.515,0.764736,0.00452945,2,3,0,332.325,1.01452,1.01422,1.01036,1.00605,1.01067,8.69266
-328.384,1,0.0043862,2,3,0,329.734,1.01097,1.01424,1.00736,1.01088,1.01223,8.67604
-328.384,0.000328327,0.00710682,1,3,0,330.768,1.01097,1.01424,1.00736,1.01088,1.01223,8.67604
-326.716,0.984497,0.00130209,4,15,0,330.5,1.01353,1.0096,1.01071,1.01212,1.00905,8.58044
-329.025,0.884156,0.00204217,3,7,0,330.397,1.01824,1.00995,1.01489,1.00661,1.0096,8.5469
-330.665,0.99908,0.00256765,4,15,0,332.79,1.02828,1.02236,1.02207,1.01832,1.01915,8.43586
-329.45,0.501863,0.00411593,2,3,0,335.117,1.01273,1.02146,1.01972,1.02421,1.01408,8.38413
-327.157,0.993361,0.00228,3,7,0,331.411,1.01245,1.01871,1.0196,1.02031,1.01593,8.36022
-323.512,0.968382,0.00359299,3,7,0,328.051,1.00672,1.01174,1.0141,1.01328,1.0091,8.20474
-321.946,0.53653,0.00534471,3,7,0,326.085,0.993091,1.00221,0.99616,0.994169,0.995287,8.12765
-315.338,0.798589,0.00320746,5,31,0,325.275,0.997028,1.00375,1.00281,1.0053,1.0011,7.59544
-317.505,0.798256,0.00333779,2,7,0,319.077,1.00753,0.998929,0.998333,0.996854,1.00567,7.65704
-314.493,0.861833,0.00346888,2,3,0,319.163,0.99927,1.00279,1.00088,0.997665,0.999182,7.63479
-314.493,0.101727,0.00410681,1,1,0,318,0.99927,1.00279,1.00088,0.997665,0.999182,7.63479
-314.249,0.997883,0.00102296,4,15,0,315.454,1.00185,1.00105,1.00172,0.999334,1.00253,7.65142
-310.355,0.919515,0.0016046,5,39,0,318.264,0.988642,0.998976,0.995956,0.992982,0.992287,7.09343
-313.076,0.862852,0.00213699,2,3,0,314.157,0.984742,0.998245,0.995266,0.992172,0.993882,7.0998
-308.462,1,0.00253081,2,3,0,313.794,0.997819,0.99222,0.990492,0.993164,0.991866,7.14099
-310.875,0.529654,0.00393968,3,7,0,312.468,0.993979,0.99791,1.0007,0.995294,0.990741,7.15892
-308.532,0.993583,0.00238614,2,7,0,312.44,0.996759,0.996828,0.994429,0.994242,0.993777,7.21021
-308.391,0.906485,0.00365129,2,7,0,310.295,0.999029,0.994352,0.992996,0.99344,0.996507,7.1682
-308.391,0.375713,0.0046829,1,3,0,311.043,0.999029,0.994352,0.992996,0.99344,0.996507,7.1682
-306.94,0.999751,0.00210718,4,15,0,309.056,0.997198,0.992967,0.993034,0.993683,0.994976,7.08887
-295.393,0.773841,0.00324405,4,23,0,312.428,0.996741,0.996024,0.994873,0.993733,0.992764,6.27122
-294.489,0.811684,0.00320124,4,15,0,297.347,1.00509,1.00121,1.00101,1.00441,1.00547,6.17707
-291.53,0.860065,0.00339963,4,15,0,299.085,0.991872,0.994961,0.99309,0.992761,0.993959,6.00539
-283.261,0.530725,0.00396122,4,15,0,294.499,0.99115,0.992989,0.989658,0.991574,0.994859,5.4399
-284.61,0.940163,0.00244612,2,3,0,285.337,0.995439,0.986867,0.991292,0.990442,0.990184,5.44218
-279.716,0.712662,0.00332186,4,15,0,287,1.00226,1.00096,1.00318,0.998236,0.996889,5.21569
-281.748,0.557898,0.00291554,4,15,0,285.632,1.00347,1.00275,1.00204,1.00894,1.00177,5.28719
-278.964,0.968191,0.00190972,3,15,0,283.172,1.00313,1.00369,1.00341,0.999311,1.00272,5.24093
-257.36,0.675008,0.00272503,5,39,1,281.049,0.99718,0.999699,0.99849,1.002,1.00069,4.11084
-253.093,0.971842,0.00223298,3,15,0,259.113,0.999394,0.994376,0.996739,0.994571,0.997937,3.95826
-253.093,0.00107346,0.0031951,2,5,0,256.239,0.999394,0.994376,0.996739,0.994571,0.997937,3.95826
-254.717,0.902472,0.00074578,3,15,0,258.668,0.998034,0.995935,0.997504,1.00075,1.00117,3.95145
-252.295,0.989509,0.000939405,3,7,0,256.916,0.997752,0.999506,1.00113,0.999204,0.999439,3.94927
-250.018,0.980578,0.00138693,3,7,0,253.071,0.997694,0.998095,0.996842,0.997882,0.997881,3.91668
-252.43,0.462763,0.00200737,2,3,0,253.561,0.999174,0.994516,0.99786,0.994323,0.996546,3.9251
-234.584,0.914308,0.00112081,6,63,0,255.652,1.00189,1.0031,1.00016,1.0022,1.0029,3.24365
-234.653,0.9105,0.00143379,3,7,0,236.021,1.00295,0.999724,1.00236,1.00171,0.999866,3.24812
-234.653,2.1306e-77,0.320409,1,1,0,238.521,1.00295,0.999724,1.00236,1.00171,0.999866,3.24812
-234.653,0,1.08651,0,1,1,240.047,1.00295,0.999724,1.00236,1.00171,0.999866,3.24812
-201.822,1,0.107129,2,3,0,239.392,1.00186,1.00334,1.0041,0.999931,1.00283,1.93115
-183.592,0.871705,0.111575,3,11,0,199.611,0.997496,0.996919,0.999249,0.999963,0.997851,1.0933
-172.614,0.316702,0.1046,3,7,0,186.772,0.998527,0.995605,0.996882,0.997323,0.99827,1.01507
-164.922,0.99953,0.0209921,3,15,0,174.346,0.998495,0.997644,0.995952,0.997131,0.996733,1.04633
-166.981,0.963943,0.0334268,3,7,0,167.743,0.998785,0.998015,0.995586,0.997163,0.997052,1.06106
-163.547,0.927595,0.0513048,2,3,0,169.556,0.998591,0.997609,0.996706,0.997152,0.997075,1.06052
-163.053,1,0.0733516,2,3,0,163.883,0.998617,0.997394,0.997189,0.99734,0.997257,1.04371
-163.053,2.89101e-15,0.135203,2,7,0,169.528,0.998617,0.997394,0.997189,0.99734,0.997257,1.04371
-164.28,0.99199,0.0107193,4,15,0,166.014,0.998668,0.997605,0.99734,0.997144,0.996986,1.0611
-165.701,0.995049,0.0197938,4,15,0,167.859,0.999037,0.99823,0.996317,0.997837,0.997742,0.920903
-163.715,0.99933,0.0371902,3,15,0,166.996,0.999136,0.998158,0.998849,0.998657,0.998412,0.992583
-165.408,0.670299,0.0709761,2,3,0,167.176,0.999848,0.998317,0.996935,0.999136,0.998163,0.969697
-164.064,0.866836,0.0484676,3,7,0,168.718,0.998878,0.998824,0.99876,0.998701,0.998592,0.971874
-163.483,0.991304,0.0613601,2,7,0,164.345,1.00035,0.998483,0.997636,0.998895,0.998661,1.01274
-163.483,4.35278e-06,0.113906,2,3,0,167.01,1.00035,0.998483,0.997636,0.998895,0.998661,1.01274
-164.356,0.999367,0.0101708,5,63,0,166.784,0.997725,0.997461,0.997323,0.997514,0.997098,1.02937
-163.732,0.979736,0.0195157,4,15,0,167.062,0.998151,0.997684,0.99672,0.997137,0.997667,1.04689
-164.4,0.998313,0.0350039,3,7,0,165.102,0.998011,0.997475,0.996223,0.997664,0.996616,1.05971
-162.781,0.945124,0.0658193,3,7,0,165.497,0.998447,0.997496,0.997505,0.997863,0.997688,1.00155
-162.781,0.00766529,0.104749,1,1,0,165.406,0.998447,0.997496,0.997505,0.997863,0.997688,1.00155
-163.299,0.998092,0.0106005,5,31,0,164.147,0.999082,0.998429,0.996875,0.998259,0.997793,0.958261
-163.837,0.98839,0.0198547,4,15,0,165.615,0.998895,0.998451,0.998439,0.998573,0.998176,0.926835
-164.922,0.918654,0.0357989,3,7,0,166.727,0.999718,0.997941,0.996877,0.99834,0.998607,0.97714
-162.747,0.941469,0.0523786,3,7,0,166.779,1.00009,0.999125,0.998422,0.999394,0.99949,0.967276
-162.264,0.934266,0.081247,3,7,0,163.806,1.0003,0.998857,0.998507,0.999181,0.9993,1.00363
-162.264,1.97134e-05,0.122607,1,3,0,167.001,1.0003,0.998857,0.998507,0.999181,0.9993,1.00363
-167.429,0.969535,0.013623,5,63,0,170.63,1.00106,0.998864,0.999819,1.00043,1.00055,1.0027
