# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = sir_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     max_num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 1 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 200 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = sir.data.R
# init = 2 (Default)
# random
#   seed = 5069125
# output
#   file = 0.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta,gamma,xi,delta,y.1.1,y.2.1,y.3.1,y.4.1,y.5.1,y.6.1,y.7.1,y.8.1,y.9.1,y.10.1,y.11.1,y.12.1,y.13.1,y.14.1,y.15.1,y.16.1,y.17.1,y.18.1,y.19.1,y.20.1,y.1.2,y.2.2,y.3.2,y.4.2,y.5.2,y.6.2,y.7.2,y.8.2,y.9.2,y.10.2,y.11.2,y.12.2,y.13.2,y.14.2,y.15.2,y.16.2,y.17.2,y.18.2,y.19.2,y.20.2,y.1.3,y.2.3,y.3.3,y.4.3,y.5.3,y.6.3,y.7.3,y.8.3,y.9.3,y.10.3,y.11.3,y.12.3,y.13.3,y.14.3,y.15.3,y.16.3,y.17.3,y.18.3,y.19.3,y.20.3,y.1.4,y.2.4,y.3.4,y.4.4,y.5.4,y.6.4,y.7.4,y.8.4,y.9.4,y.10.4,y.11.4,y.12.4,y.13.4,y.14.4,y.15.4,y.16.4,y.17.4,y.18.4,y.19.4,y.20.4
27555,1,0.00195312,1,1,0,-5934.92,6.61833,0.133032,5.71233,2.34596,9458.72,9131.45,8785.03,8432.45,8087.25,7761.46,7464.09,7200.53,6972.7,6779.84,6619.33,6487.55,6380.54,6294.38,6225.48,6170.67,6127.25,6092.96,6065.96,6044.73,296.717,331.112,356.523,369.863,369.668,356.433,332.365,300.71,264.96,228.218,192.854,160.412,131.714,107.024,86.2344,69.0183,54.9457,43.5583,34.4162,27.1218,244.565,537.441,858.449,1197.68,1543.08,1882.11,2203.54,2498.76,2762.34,2991.94,3187.82,3352.03,3487.75,3598.59,3688.29,3760.31,3817.81,3863.48,3899.63,3928.15,716.875,801.64,865.077,899.49,901.038,870.637,813.444,737.26,650.6,561.109,474.673,395.177,324.715,264.001,212.818,170.394,135.691,107.595,85.0284,67.0165
27555,0,14.3855,0,1,1,-27554.5,6.61833,0.133032,5.71233,2.34596,9458.72,9131.45,8785.03,8432.45,8087.25,7761.46,7464.09,7200.53,6972.7,6779.84,6619.33,6487.55,6380.54,6294.38,6225.48,6170.67,6127.25,6092.96,6065.96,6044.73,296.717,331.112,356.523,369.863,369.668,356.433,332.365,300.71,264.96,228.218,192.854,160.412,131.714,107.024,86.2344,69.0183,54.9457,43.5583,34.4162,27.1218,244.565,537.441,858.449,1197.68,1543.08,1882.11,2203.54,2498.76,2762.34,2991.94,3187.82,3352.03,3487.75,3598.59,3688.29,3760.31,3817.81,3863.48,3899.63,3928.15,716.875,801.64,865.077,899.49,901.038,870.637,813.444,737.26,650.6,561.109,474.673,395.177,324.715,264.001,212.818,170.394,135.691,107.595,85.0284,67.0165
27555,0,2.43117,0,1,1,-27551.2,6.61833,0.133032,5.71233,2.34596,9458.72,9131.45,8785.03,8432.45,8087.25,7761.46,7464.09,7200.53,6972.7,6779.84,6619.33,6487.55,6380.54,6294.38,6225.48,6170.67,6127.25,6092.96,6065.96,6044.73,296.717,331.112,356.523,369.863,369.668,356.433,332.365,300.71,264.96,228.218,192.854,160.412,131.714,107.024,86.2344,69.0183,54.9457,43.5583,34.4162,27.1218,244.565,537.441,858.449,1197.68,1543.08,1882.11,2203.54,2498.76,2762.34,2991.94,3187.82,3352.03,3487.75,3598.59,3688.29,3760.31,3817.81,3863.48,3899.63,3928.15,716.875,801.64,865.077,899.49,901.038,870.637,813.444,737.26,650.6,561.109,474.673,395.177,324.715,264.001,212.818,170.394,135.691,107.595,85.0284,67.0165
27555,0,0.239791,0,1,1,-27554.3,6.61833,0.133032,5.71233,2.34596,9458.72,9131.45,8785.03,8432.45,8087.25,7761.46,7464.09,7200.53,6972.7,6779.84,6619.33,6487.55,6380.54,6294.38,6225.48,6170.67,6127.25,6092.96,6065.96,6044.73,296.717,331.112,356.523,369.863,369.668,356.433,332.365,300.71,264.96,228.218,192.854,160.412,131.714,107.024,86.2344,69.0183,54.9457,43.5583,34.4162,27.1218,244.565,537.441,858.449,1197.68,1543.08,1882.11,2203.54,2498.76,2762.34,2991.94,3187.82,3352.03,3487.75,3598.59,3688.29,3760.31,3817.81,3863.48,3899.63,3928.15,716.875,801.64,865.077,899.49,901.038,870.637,813.444,737.26,650.6,561.109,474.673,395.177,324.715,264.001,212.818,170.394,135.691,107.595,85.0284,67.0165
27555,0,0.0186273,0,1,1,-27554.3,6.61833,0.133032,5.71233,2.34596,9458.72,9131.45,8785.03,8432.45,8087.25,7761.46,7464.09,7200.53,6972.7,6779.84,6619.33,6487.55,6380.54,6294.38,6225.48,6170.67,6127.25,6092.96,6065.96,6044.73,296.717,331.112,356.523,369.863,369.668,356.433,332.365,300.71,264.96,228.218,192.854,160.412,131.714,107.024,86.2344,69.0183,54.9457,43.5583,34.4162,27.1218,244.565,537.441,858.449,1197.68,1543.08,1882.11,2203.54,2498.76,2762.34,2991.94,3187.82,3352.03,3487.75,3598.59,3688.29,3760.31,3817.81,3863.48,3899.63,3928.15,716.875,801.64,865.077,899.49,901.038,870.637,813.444,737.26,650.6,561.109,474.673,395.177,324.715,264.001,212.818,170.394,135.691,107.595,85.0284,67.0165
28936.9,1,0.00130482,5,39,0,-27716.8,6.87426,0.127067,5.96793,2.24254,9355.62,8866.13,8286.57,7653.44,7017.49,6427.68,5917.18,5499.08,5170.52,4919.83,4732.44,4594.31,4493.44,4420.26,4367.41,4329.34,4302,4282.37,4268.31,4258.23,372.574,482.191,585.62,661.353,691.765,671.639,609.739,522.935,428.383,338.633,260.549,196.479,145.99,107.312,78.2678,56.7637,41.0012,29.5295,21.2231,15.2304,271.806,651.683,1127.81,1685.21,2290.75,2900.68,3473.08,3977.99,4401.1,4741.53,5007.01,5209.21,5360.57,5472.43,5554.33,5613.89,5657,5688.1,5710.47,5726.54,973.584,1264.54,1542.39,1750.17,1839.58,1794.28,1635.5,1407.37,1155.97,915.655,705.603,532.698,396.141,291.366,212.601,154.237,111.433,80.2685,57.6964,41.4082
28959.3,1,0.00189104,2,3,0,-28933.5,6.90011,0.12648,5.99468,2.242,9348.38,8845.14,8244.53,7585.84,6924.56,6314.04,5789.52,5363.8,5032.47,4782.08,4596.61,4461.07,4362.9,4292.24,4241.58,4205.36,4179.51,4161.09,4147.98,4138.65,378.386,495.274,606.772,688.874,721.65,699.282,631.856,538.364,437.679,343.193,261.902,195.907,144.418,105.345,76.263,54.91,39.3824,28.1676,20.1067,14.3325,273.229,659.586,1148.7,1725.29,2353.79,2986.68,3578.63,4097.83,4529.85,4874.73,5141.49,5343.03,5492.68,5602.42,5682.16,5739.73,5781.11,5810.74,5831.91,5847.01,992.673,1304.14,1604.9,1831.18,1928.13,1877.35,1703.45,1456.41,1187.24,932.868,712.999,533.936,393.93,287.521,208.234,149.976,107.589,76.963,54.9441,39.1683
28959.3,0.606956,0.00305706,1,1,0,-28955.7,6.90011,0.12648,5.99468,2.242,9348.38,8845.14,8244.53,7585.84,6924.56,6314.04,5789.52,5363.8,5032.47,4782.08,4596.61,4461.07,4362.9,4292.24,4241.58,4205.36,4179.51,4161.09,4147.98,4138.65,378.386,495.274,606.772,688.874,721.65,699.282,631.856,538.364,437.679,343.193,261.902,195.907,144.418,105.345,76.263,54.91,39.3824,28.1676,20.1067,14.3325,273.229,659.586,1148.7,1725.29,2353.79,2986.68,3578.63,4097.83,4529.85,4874.73,5141.49,5343.03,5492.68,5602.42,5682.16,5739.73,5781.11,5810.74,5831.91,5847.01,992.673,1304.14,1604.9,1831.18,1928.13,1877.35,1703.45,1456.41,1187.24,932.868,712.999,533.936,393.93,287.521,208.234,149.976,107.589,76.963,54.9441,39.1683
28974.7,1,0.00154134,2,3,0,-28954.9,6.91419,0.125931,6.00861,2.2462,9346.31,8837.59,8227.8,7557.3,6883.81,6262.86,5730.86,5300.64,4967.12,4716.08,4530.83,4395.95,4298.59,4228.73,4178.79,4143.2,4117.88,4099.89,4087.11,4078.05,380.711,501.192,616.924,702.679,737.262,714.374,644.618,547.994,444.254,347.272,264.167,196.968,144.743,105.257,75.9695,54.5379,39.0029,27.8173,19.8013,14.0759,272.981,661.216,1155.28,1740.02,2378.92,3022.77,3624.52,4151.36,4588.62,4936.65,5205,5407.09,5556.67,5666.02,5745.24,5802.26,5843.12,5872.3,5893.09,5907.88,998.874,1319.9,1632.09,1868.44,1970.63,1918.8,1738.82,1483.34,1205.82,944.542,719.613,537.162,395.058,287.453,207.558,149.049,106.615,76.0507,54.1413,38.4897
29246.5,1,0.00277814,2,3,0,-28979.4,6.68305,0.118999,6.11283,2.26404,9376.09,8882.21,8274.69,7589.03,6883.69,6220.51,5644.11,5173.48,4806.47,4529.22,4324.19,4174.66,4066.6,3988.95,3933.39,3893.73,3865.47,3845.36,3831.06,3820.9,373.269,503.088,635.657,743.995,801.445,795.206,732.134,632.636,519.534,410.234,314.533,235.986,174.284,127.259,92.1656,66.3608,47.5821,34.0162,24.2666,17.2854,250.646,614.703,1089.65,1666.97,2314.87,2984.29,3623.76,4193.88,4674,5060.55,5361.28,5589.35,5759.12,5883.79,5974.44,6039.91,6086.95,6120.62,6144.67,6161.82,987.311,1335.37,1694.65,1993.47,2158.73,2152.75,1990.85,1726.65,1422.09,1125.4,864.289,649.24,479.908,350.64,254.062,182.988,131.237,93.8357,66.9487,47.6924
