# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = sir_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     max_num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 4 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 200 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = sir.data.R
# init = 2 (Default)
# random
#   seed = 5069125
# output
#   file = mpi.2.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta,gamma,xi,delta,y.1.1,y.2.1,y.3.1,y.4.1,y.5.1,y.6.1,y.7.1,y.8.1,y.9.1,y.10.1,y.11.1,y.12.1,y.13.1,y.14.1,y.15.1,y.16.1,y.17.1,y.18.1,y.19.1,y.20.1,y.1.2,y.2.2,y.3.2,y.4.2,y.5.2,y.6.2,y.7.2,y.8.2,y.9.2,y.10.2,y.11.2,y.12.2,y.13.2,y.14.2,y.15.2,y.16.2,y.17.2,y.18.2,y.19.2,y.20.2,y.1.3,y.2.3,y.3.3,y.4.3,y.5.3,y.6.3,y.7.3,y.8.3,y.9.3,y.10.3,y.11.3,y.12.3,y.13.3,y.14.3,y.15.3,y.16.3,y.17.3,y.18.3,y.19.3,y.20.3,y.1.4,y.2.4,y.3.4,y.4.4,y.5.4,y.6.4,y.7.4,y.8.4,y.9.4,y.10.4,y.11.4,y.12.4,y.13.4,y.14.4,y.15.4,y.16.4,y.17.4,y.18.4,y.19.4,y.20.4
23262.4,1,0.00390625,1,1,0,73642.9,0.200968,0.0640151,3.73622,0.0879072,9890.68,9809.1,9733.12,9655.65,9574.38,9488.55,9397.93,9302.5,9202.31,9097.53,8988.36,8875.07,8757.99,8637.52,8514.08,8388.18,8260.33,8131.11,8001.08,7870.85,86.6621,120.755,138.36,150.922,162.047,172.839,183.598,194.353,205.045,215.577,225.836,235.7,245.044,253.74,261.666,268.704,274.748,279.704,283.497,286.07,22.6544,70.1467,128.519,193.427,263.572,338.609,418.469,503.151,592.641,686.891,785.803,889.228,996.962,1108.74,1224.25,1343.12,1464.92,1589.19,1715.42,1843.08,6475.7,5603,5589.69,5862.55,6236.93,6652.12,7086.75,7531.79,7981.84,8432.35,8878.79,9316.4,9740.18,10145,10525.5,10876.6,11193.2,11470.8,11705.3,11893
23262.4,0,14.3855,0,1,1,-23261.9,0.200968,0.0640151,3.73622,0.0879072,9890.68,9809.1,9733.12,9655.65,9574.38,9488.55,9397.93,9302.5,9202.31,9097.53,8988.36,8875.07,8757.99,8637.52,8514.08,8388.18,8260.33,8131.11,8001.08,7870.85,86.6621,120.755,138.36,150.922,162.047,172.839,183.598,194.353,205.045,215.577,225.836,235.7,245.044,253.74,261.666,268.704,274.748,279.704,283.497,286.07,22.6544,70.1467,128.519,193.427,263.572,338.609,418.469,503.151,592.641,686.891,785.803,889.228,996.962,1108.74,1224.25,1343.12,1464.92,1589.19,1715.42,1843.08,6475.7,5603,5589.69,5862.55,6236.93,6652.12,7086.75,7531.79,7981.84,8432.35,8878.79,9316.4,9740.18,10145,10525.5,10876.6,11193.2,11470.8,11705.3,11893
23262.4,0,2.43117,0,1,1,-23261.8,0.200968,0.0640151,3.73622,0.0879072,9890.68,9809.1,9733.12,9655.65,9574.38,9488.55,9397.93,9302.5,9202.31,9097.53,8988.36,8875.07,8757.99,8637.52,8514.08,8388.18,8260.33,8131.11,8001.08,7870.85,86.6621,120.755,138.36,150.922,162.047,172.839,183.598,194.353,205.045,215.577,225.836,235.7,245.044,253.74,261.666,268.704,274.748,279.704,283.497,286.07,22.6544,70.1467,128.519,193.427,263.572,338.609,418.469,503.151,592.641,686.891,785.803,889.228,996.962,1108.74,1224.25,1343.12,1464.92,1589.19,1715.42,1843.08,6475.7,5603,5589.69,5862.55,6236.93,6652.12,7086.75,7531.79,7981.84,8432.35,8878.79,9316.4,9740.18,10145,10525.5,10876.6,11193.2,11470.8,11705.3,11893
23262.4,0,0.239791,0,1,1,-23260.2,0.200968,0.0640151,3.73622,0.0879072,9890.68,9809.1,9733.12,9655.65,9574.38,9488.55,9397.93,9302.5,9202.31,9097.53,8988.36,8875.07,8757.99,8637.52,8514.08,8388.18,8260.33,8131.11,8001.08,7870.85,86.6621,120.755,138.36,150.922,162.047,172.839,183.598,194.353,205.045,215.577,225.836,235.7,245.044,253.74,261.666,268.704,274.748,279.704,283.497,286.07,22.6544,70.1467,128.519,193.427,263.572,338.609,418.469,503.151,592.641,686.891,785.803,889.228,996.962,1108.74,1224.25,1343.12,1464.92,1589.19,1715.42,1843.08,6475.7,5603,5589.69,5862.55,6236.93,6652.12,7086.75,7531.79,7981.84,8432.35,8878.79,9316.4,9740.18,10145,10525.5,10876.6,11193.2,11470.8,11705.3,11893
23262.4,0,0.0186273,0,1,1,-23261.3,0.200968,0.0640151,3.73622,0.0879072,9890.68,9809.1,9733.12,9655.65,9574.38,9488.55,9397.93,9302.5,9202.31,9097.53,8988.36,8875.07,8757.99,8637.52,8514.08,8388.18,8260.33,8131.11,8001.08,7870.85,86.6621,120.755,138.36,150.922,162.047,172.839,183.598,194.353,205.045,215.577,225.836,235.7,245.044,253.74,261.666,268.704,274.748,279.704,283.497,286.07,22.6544,70.1467,128.519,193.427,263.572,338.609,418.469,503.151,592.641,686.891,785.803,889.228,996.962,1108.74,1224.25,1343.12,1464.92,1589.19,1715.42,1843.08,6475.7,5603,5589.69,5862.55,6236.93,6652.12,7086.75,7531.79,7981.84,8432.35,8878.79,9316.4,9740.18,10145,10525.5,10876.6,11193.2,11470.8,11705.3,11893
23276.1,1,0.00130482,1,1,0,-23262,0.201441,0.0640894,3.73802,0.0877621,9890.36,9808.41,9731.98,9653.96,9572.04,9485.44,9393.95,9297.51,9196.21,9090.2,8979.68,8864.93,8746.3,8624.17,8499.02,8371.34,8241.67,8110.59,7978.71,7846.64,86.8981,121.158,138.929,151.67,162.989,173.991,184.971,195.958,206.889,217.664,228.166,238.268,247.839,256.748,264.866,272.072,278.255,283.317,287.18,289.784,22.7389,70.4305,129.088,194.366,264.972,340.565,421.084,506.532,596.899,692.14,792.158,896.803,1005.86,1119.08,1236.11,1356.59,1480.08,1606.09,1734.11,1863.57,6484.83,5619.85,5613.92,5894.4,6276.93,6700.89,7144.92,7599.94,8060.44,8521.77,8979.26,9427.97,9862.71,10278.1,10668.7,11029.1,11354.1,11638.8,11879,12071.1
23415.2,1,0.00189104,2,3,0,-23276.7,0.207546,0.0647317,3.71588,0.0871776,9886.72,9801.25,9720.8,9638.06,9550.66,9457.79,9359.18,9254.81,9144.74,9029.14,8908.28,8782.47,8652.15,8517.8,8380,8239.38,8096.61,7952.43,7807.58,7662.81,89.6118,125.331,144.361,158.409,171.132,183.63,196.185,208.806,221.403,233.848,245.989,257.664,268.705,278.942,288.209,296.35,303.224,308.711,312.716,315.171,23.6712,73.4189,134.841,203.528,278.209,358.585,444.633,536.387,633.859,737.009,845.736,959.865,1079.15,1203.26,1331.79,1464.27,1600.16,1738.86,1879.71,2022.02,6534.92,5721.82,5765.88,6097.25,6533.57,7015.06,7520.41,8040.18,8568.19,9098.87,9626.43,10144.7,10647,11126.5,11576.1,11989,12358.4,12678.2,12943,13148.3
23470.5,1,0.00305706,1,1,0,-23413.1,0.209759,0.0653382,3.72239,0.0869725,9885.37,9798.55,9716.51,9631.92,9542.39,9447.1,9345.8,9238.45,9125.12,9006.01,8881.39,8751.62,8617.15,8478.52,8336.36,8191.33,8044.18,7895.69,7746.65,7597.88,90.494,126.608,145.986,160.415,173.556,186.503,199.528,212.63,225.709,238.625,251.214,263.302,274.706,285.244,294.736,303.018,309.939,315.375,319.226,321.429,24.1325,74.8457,137.506,207.665,284.058,366.396,454.672,548.924,649.168,755.363,867.397,985.081,1108.14,1236.23,1368.91,1505.65,1645.88,1788.94,1934.12,2080.69,6556.23,5765.33,5828.98,6178.89,6634.04,7135.2,7661.22,8202.51,8752.64,9305.66,9855.35,10395,10917.4,11415.2,11880.7,12306.4,12685.2,13010.6,13276.8,13479.2
23662.6,1,0.00530085,1,1,0,-23470.5,0.217413,0.0672466,3.67346,0.0865748,9880.94,9790.19,9704.04,9615.05,9520.82,9420.57,9314.06,9201.3,9082.42,8957.67,8827.38,8691.98,8552.02,8408.1,8260.93,8111.25,7959.89,7807.67,7655.45,7504.09,93.3891,130.354,150.141,164.89,178.322,191.529,204.766,218.017,231.165,244.056,256.511,268.344,279.362,289.376,298.207,305.692,311.689,316.086,318.804,319.797,25.6669,79.4578,145.815,220.056,300.856,387.906,481.177,580.686,686.414,798.277,916.112,1039.67,1168.62,1302.52,1440.87,1583.06,1728.43,1876.25,2025.74,2176.11,6594.38,5835.95,5920.94,6285.59,6752.01,7262.29,7795.55,8342,8894.77,9447.41,9993.14,10524.7,11034.6,11514.8,11957.6,12355.5,12701.2,12988.7,13212.6,13368.9
23662.6,4.66476e-17,0.00961161,1,1,0,-23660.3,0.217413,0.0672466,3.67346,0.0865748,9880.94,9790.19,9704.04,9615.05,9520.82,9420.57,9314.06,9201.3,9082.42,8957.67,8827.38,8691.98,8552.02,8408.1,8260.93,8111.25,7959.89,7807.67,7655.45,7504.09,93.3891,130.354,150.141,164.89,178.322,191.529,204.766,218.017,231.165,244.056,256.511,268.344,279.362,289.376,298.207,305.692,311.689,316.086,318.804,319.797,25.6669,79.4578,145.815,220.056,300.856,387.906,481.177,580.686,686.414,798.277,916.112,1039.67,1168.62,1302.52,1440.87,1583.06,1728.43,1876.25,2025.74,2176.11,6594.38,5835.95,5920.94,6285.59,6752.01,7262.29,7795.55,8342,8894.77,9447.41,9993.14,10524.7,11034.6,11514.8,11957.6,12355.5,12701.2,12988.7,13212.6,13368.9
