# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = dawid_model
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = examples/dawid/caries_dump.R
# init = 2 (Default)
# random
#   seed = 1906488832 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# chains
#   n_chains = 8
# num_threads = 20
# stanc_version = stanc3 a7f4b745
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,logit_pi,logit_alpha.1.1,logit_alpha.2.1,logit_alpha.3.1,logit_alpha.4.1,logit_alpha.5.1,logit_alpha.1.2,logit_alpha.2.2,logit_alpha.3.2,logit_alpha.4.2,logit_alpha.5.2
# Adaptation terminated
# Step size = 0.22696
# Diagonal elements of inverse mass matrix:
# 0.00363239, 0.0379054, 0.00255025, 0.00461257, 0.00118094, 0.0537292, 0.00247347, 0.0244721, 0.00276384, 0.00212591, 0.00224569
-7465.77,0.998733,0.22696,4,31,0,7468.85,-1.4274,-4.61966,-2.18415,-4.30921,-3.22309,-0.818707,-0.419387,0.86874,0.456027,-0.0896421,2.42001
-7471.23,0.932973,0.22696,4,15,0,7474.02,-1.39276,-4.37697,-2.26294,-4.8574,-3.24849,-0.799023,-0.42852,1.07351,0.462977,-0.0131451,2.4663
-7466.99,0.963202,0.22696,4,15,0,7474.46,-1.44158,-4.35762,-2.21298,-4.41435,-3.31886,-0.827162,-0.366309,0.954221,0.481677,0.0930564,2.56498
-7466.63,0.948837,0.22696,4,31,0,7472.01,-1.45214,-4.40647,-2.21503,-4.40684,-3.36555,-0.83815,-0.405037,0.897025,0.540445,0.0178795,2.56932
-7468.96,0.848107,0.22696,4,15,0,7473.4,-1.41877,-4.21097,-2.24389,-4.43757,-3.26622,-0.836054,-0.476416,0.952186,0.290842,-0.191932,2.46309
-7469.82,0.998744,0.22696,4,15,0,7474.11,-1.39409,-4.14688,-2.08669,-4.58553,-3.26468,-0.866154,-0.438084,0.964052,0.374458,-0.0993159,2.48519
-7472.38,0.898898,0.22696,5,31,0,7480.38,-1.55237,-4.71192,-2.10375,-4.05722,-3.22439,-0.690766,-0.23753,0.949381,0.596752,0.132334,2.2639
-7469.97,0.809687,0.22696,5,31,0,7482.53,-1.3386,-4.46589,-2.23694,-4.5649,-3.61622,-0.892069,-0.460968,0.960172,0.148974,-0.040897,2.39641
-7471.47,0.926848,0.22696,4,15,0,7479.29,-1.46842,-4.15738,-2.11961,-4.74108,-3.35535,-0.756612,-0.36168,0.816729,0.368409,-0.0311629,2.21217
-7473.55,0.990257,0.22696,4,15,0,7476.25,-1.51449,-4.17538,-2.01563,-4.62372,-3.44994,-0.773195,-0.400405,0.970994,0.41447,0.0606967,2.15326
-7472.53,0.907769,0.22696,4,15,0,7479.93,-1.40668,-4.5253,-2.07153,-4.42656,-3.46576,-0.727492,-0.507495,0.70873,0.550848,-0.0254233,2.39924
-7472.79,0.908949,0.22696,4,15,0,7480.01,-1.50176,-4.52836,-1.98835,-4.3249,-3.45465,-0.773168,-0.14011,1.06221,0.555347,0.0662448,2.22682
-7468.92,0.999843,0.22696,4,15,0,7476.19,-1.28166,-4.63597,-2.14426,-4.57817,-3.44088,-0.885605,-0.482501,0.815502,0.215575,-0.0920848,2.36001
-7466.41,0.972992,0.22696,4,15,0,7472.66,-1.4991,-4.46073,-2.1543,-4.17556,-3.3761,-0.775014,-0.288682,0.918526,0.554374,0.00914263,2.22728
-7468.2,0.960057,0.22696,4,15,0,7472.36,-1.43148,-4.3077,-2.11729,-4.05604,-3.31026,-0.876766,-0.419477,1.03033,0.431415,-0.0938279,2.74542
-7466.57,0.865338,0.22696,4,15,0,7472.14,-1.48157,-4.50617,-2.142,-4.05516,-3.53873,-0.807032,-0.42352,0.93101,0.462681,-0.0823805,2.42815
-7466.01,0.9366,0.22696,4,31,0,7470.43,-1.44089,-4.3254,-2.17684,-4.2173,-3.30115,-0.79775,-0.427541,1.03208,0.392869,-0.0486749,2.65431
-7470.65,0.956396,0.22696,4,31,0,7474.01,-1.54298,-4.58299,-2.05947,-4.03182,-3.09688,-0.830892,-0.307563,0.915219,0.41819,-0.0709365,2.62917
-7469.02,0.841213,0.22696,4,15,0,7475.74,-1.36203,-4.45345,-2.29945,-4.28305,-3.60249,-0.75135,-0.347559,0.904218,0.333209,-0.00154008,2.36583
-7468.23,0.819003,0.22696,4,15,0,7473.17,-1.46347,-4.47034,-2.11335,-4.13362,-3.28424,-0.910474,-0.350061,0.950391,0.424173,-0.114243,2.46257
-7467.79,0.978896,0.22696,4,31,0,7472.8,-1.45939,-4.30158,-2.18532,-4.18999,-3.24463,-0.884612,-0.450687,0.85686,0.382956,-0.0586249,2.45971
-7467.11,0.981308,0.22696,4,15,0,7471.61,-1.43349,-4.40307,-2.16337,-4.37341,-3.18901,-0.792602,-0.39676,0.981551,0.465784,-0.0925996,2.68451
-7468.76,0.773496,0.22696,4,15,0,7472.73,-1.48358,-4.60129,-2.13835,-3.82026,-3.49644,-0.795432,-0.381407,0.853961,0.366361,0.107596,2.32274
-7471.26,0.84307,0.22696,5,31,0,7480.05,-1.30661,-4.82762,-2.34975,-4.78649,-3.61439,-0.876322,-0.551264,0.84049,0.261245,0.0108302,2.33104
-7469.92,0.999514,0.22696,4,31,0,7472.57,-1.51783,-4.35551,-2.02188,-3.98656,-3.19007,-0.767047,-0.435279,0.933496,0.44203,-0.000295782,2.39818
-7466.8,0.99667,0.22696,4,15,0,7472.2,-1.42154,-4.4512,-2.29367,-4.27338,-3.45836,-0.825476,-0.319654,0.953984,0.463623,-0.115068,2.42083
-7468.18,0.882313,0.22696,4,15,0,7472.63,-1.46285,-4.31485,-2.07169,-4.17146,-3.21259,-0.809592,-0.242673,1.00207,0.663507,0.0407883,2.46873
