# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = dawid_skene_binary_logit_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = examples/dawid/caries_dump.R
# init = 2 (Default)
# random
#   seed = 3464884765 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
# chains
#   n_chains = 8
# chain_id = 7
# num_threads = 8
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,logit_pi,logit_alpha.1.1,logit_alpha.2.1,logit_alpha.3.1,logit_alpha.4.1,logit_alpha.5.1,logit_alpha.1.2,logit_alpha.2.2,logit_alpha.3.2,logit_alpha.4.2,logit_alpha.5.2
# Adaptation terminated
# Step size = 0.20004
# Diagonal elements of inverse mass matrix:
# 0.00443505, 0.0469402, 0.00296489, 0.00559383, 0.00176699, 0.0655199, 0.00346792, 0.020767, 0.00262373, 0.00249896, 0.00353665
-7468.01,0.985261,0.20004,4,15,0,7474.32,-1.38454,-4.19972,-2.14537,-4.35714,-3.34967,-0.825439,-0.505607,0.97438,0.517108,-0.0626964,2.58279
-7471.52,0.977414,0.20004,4,15,0,7474.69,-1.5054,-4.68068,-2.15141,-4.00449,-3.62905,-0.753247,-0.235194,0.869958,0.355901,0.0581721,2.15243
-7470.92,0.986487,0.20004,5,31,0,7476.44,-1.36816,-4.69282,-2.23792,-4.85275,-3.41741,-0.912869,-0.522935,0.77701,0.395629,-0.116807,2.57662
-7466.03,0.973553,0.20004,4,15,0,7475.55,-1.42389,-4.28832,-2.21027,-4.39604,-3.37616,-0.83873,-0.378321,1.02596,0.381577,-0.129489,2.32992
-7469.85,0.882174,0.20004,4,15,0,7475,-1.42894,-4.67724,-2.09085,-4.58364,-3.2381,-0.748063,-0.44093,0.947838,0.472957,-0.159326,2.40368
-7467.77,0.940338,0.20004,4,31,0,7474.33,-1.36911,-4.43944,-2.1923,-4.14844,-3.60716,-0.902133,-0.424014,0.874152,0.206485,-0.0103097,2.4317
-7467.35,0.931291,0.20004,5,31,0,7472.09,-1.41851,-4.52507,-2.202,-4.26692,-3.28099,-0.866686,-0.260105,0.9464,0.381918,-0.162159,2.35844
-7465.46,0.981539,0.20004,4,15,0,7469.9,-1.4075,-4.57237,-2.18005,-4.15492,-3.25851,-0.813675,-0.416369,1.02067,0.458013,-0.0488641,2.49823
-7467.17,0.917058,0.20004,4,31,0,7473.66,-1.37615,-4.85501,-2.28788,-4.2747,-3.50312,-0.86418,-0.382954,0.831175,0.24872,-0.0824142,2.23377
-7468.96,0.997848,0.20004,4,15,0,7471.95,-1.27372,-4.79392,-2.2743,-4.29341,-3.58487,-0.92082,-0.496852,0.826941,0.251057,-0.100799,2.17164
-7468.09,0.891909,0.20004,5,31,0,7473.62,-1.37765,-4.46269,-2.32643,-4.41861,-3.63123,-0.847344,-0.377652,0.98984,0.39469,-0.0835066,2.35068
-7468.91,0.982888,0.20004,4,31,0,7472.61,-1.37665,-4.52344,-2.30815,-4.67673,-3.4994,-0.776337,-0.355898,0.983194,0.387437,-0.0787635,2.20974
-7469.27,0.79431,0.20004,5,31,0,7477.04,-1.40295,-4.41788,-2.11363,-3.78988,-3.51278,-0.883291,-0.3462,0.939861,0.351475,-0.00461067,2.60555
-7471.18,0.986256,0.20004,5,31,0,7474.87,-1.40013,-5.0398,-2.32305,-4.52464,-3.46931,-0.770231,-0.39704,0.903436,0.366336,-0.029205,2.09667
-7466.1,0.995361,0.20004,4,15,0,7472.71,-1.34432,-4.73031,-2.1956,-4.13286,-3.37699,-0.831698,-0.427542,0.952221,0.328712,-0.0256806,2.26879
